# gsimlt_path=b1,smlt_path=b1,imt=PGA,investigation_time=50.0
lon,lat,iml
-79.0107,-0.446823,0.00646754
-79.0107,0.542431,0.0063175
-79.0104,-1.43608,0.00654101
-79.0104,1.53168,0.00619652
-79.0099,-2.42533,0.00662364
-79.0098,2.52094,0.00605591
-79.009,-3.41458,0.00671579
-79.0089,3.51019,0.00587476
-79.0078,-4.40384,0.00682138
-79.0077,4.49945,0.00570172
-79.0063,-5.39309,0.00692697
-79.0062,5.4887,0.00558239
-79.0046,-6.38235,0.00701025
-79.0044,6.47795,0.00546535
-79.0025,-7.3716,0.0070108
-79.0023,7.46721,0.00527667
-79.0001,-8.36085,0.00711786
-78.9999,8.45646,0.00510491
-78.9974,-9.35011,0.0071193
-78.9972,9.44571,0.005
-78.9944,-10.3394,0.00725429
-78.9941,10.435,0.005
-78.9911,-11.3286,0.00726853
-78.9908,11.4242,0.005
-78.9874,-12.3179,0.00746398
-78.9871,12.4135,0.005
-78.9835,-13.3071,0.0076592
-78.9831,13.4027,0.005
-78.9791,-14.2964,0.0076851
-78.9745,-15.2856,0.00791619
-78.9695,-16.2749,0.00793494
-78.9641,-17.2641,0.00819293
-78.9583,-18.2534,0.00813519
-78.9522,-19.2426,0.00769672
-78.9457,-20.2319,0.0075485
-78.9388,-21.2212,0.00735856
-78.9315,-22.2104,0.0071277
-78.9237,-23.1997,0.00737717
-78.9156,-24.1889,0.00705365
-78.9069,-25.1782,0.0072769
-78.8978,-26.1674,0.00677361
-78.8882,-27.1567,0.00696587
-78.8781,-28.1459,0.00711943
-78.8675,-29.1352,0.00629716
-78.8563,-30.1244,0.00634157
-78.8446,-31.1137,0.00637549
-78.8322,-32.1029,0.00632953
-78.8193,-33.0922,0.00523683
-78.8057,-34.0815,0.00514195
-78.7914,-35.0707,0.005
-78.7763,-36.06,0.005
-78.7606,-37.0492,0.005
-78.0214,-0.446823,0.00682762
-78.0214,0.542431,0.00665843
-78.0209,-1.43608,0.00695563
-78.0208,1.53168,0.00645759
-78.0197,-2.42533,0.00712813
-78.0196,2.52094,0.00627101
-78.018,-3.41458,0.00723491
-78.0178,3.51019,0.00608387
-78.0156,-4.40384,0.0073526
-78.0154,4.49945,0.00589815
-78.0127,-5.39309,0.00744594
-78.0124,5.4887,0.00572373
-78.0092,-6.38235,0.00746551
-78.0088,6.47795,0.00553087
-78.005,-7.3716,0.00757333
-78.0046,7.46721,0.00534439
-78.0002,-8.36085,0.00758926
-77.9997,8.45646,0.00522394
-77.9949,-9.35011,0.00771691
-77.9943,9.44571,0.00515093
-77.9888,-10.3394,0.00771309
-77.9882,10.435,0.005
-77.9822,-11.3286,0.00772788
-77.9815,11.4242,0.005
-77.9749,-12.3179,0.0079112
-77.9741,12.4135,0.005
-77.9669,-13.3071,0.0079427
-77.9661,13.4027,0.005
-77.9583,-14.2964,0.00814687
-77.9489,-15.2856,0.00816403
-77.9389,-16.2749,0.00837846
-77.9282,-17.2641,0.00833547
-77.9167,-18.2534,0.00820373
-77.9044,-19.2426,0.0077216
-77.8914,-20.2319,0.00749879
-77.8776,-21.2212,0.00717238
-77.863,-22.2104,0.00635998
-77.8475,-23.1997,0.0063388
-77.8311,-24.1889,0.00584536
-77.8138,-25.1782,0.00576907
-77.7956,-26.1674,0.0056621
-77.7764,-27.1567,0.00507332
-77.7562,-28.1459,0.005
-77.735,-29.1352,0.005
-77.7126,-30.1244,0.005
-77.6891,-31.1137,0.005
-77.6645,-32.1029,0.005
-77.6385,-33.0922,0.005
-77.6113,-34.0815,0.005
-77.5827,-35.0707,0.005
-77.5527,-36.06,0.005
-77.5212,-37.0492,0.005
-77.0321,-0.446823,0.00708221
-77.0321,0.542431,0.00686835
-77.0313,-1.43608,0.00725257
-77.0312,1.53168,0.00665861
-77.0296,-2.42533,0.00734204
-77.0294,2.52094,0.00645798
-77.027,-3.41458,0.00748188
-77.0267,3.51019,0.00625153
-77.0235,-4.40384,0.00770209
-77.0231,4.49945,0.00605625
