Longitude,Latitude,Rate
-80.00000,-37.00000,0.001
-79.00000,-37.00000,0.001
-78.00000,-37.00000,0.001
-77.00000,-37.00000,0.001
-76.00000,-37.00000,0.001
-75.00000,-37.00000,0.002
-74.00000,-37.00000,0.002
-73.00000,-37.00000,0.002
-72.00000,-37.00000,0.002
-71.00000,-37.00000,0.003
-70.00000,-37.00000,0.004
-69.00000,-37.00000,0.004
-68.00000,-37.00000,0.005
-67.00000,-37.00000,0.006
-66.00000,-37.00000,0.007
-65.00000,-37.00000,0.008
-64.00000,-37.00000,0.009
-63.00000,-37.00000,0.010
-62.00000,-37.00000,0.011
-61.00000,-37.00000,0.011
-60.00000,-37.00000,0.012
-59.00000,-37.00000,0.015
-58.00000,-37.00000,0.015
-57.00000,-37.00000,0.015
-56.00000,-37.00000,0.015
-55.00000,-37.00000,0.016
-54.00000,-37.00000,0.017
-53.00000,-37.00000,0.019
-52.00000,-37.00000,0.021
-51.00000,-37.00000,0.023
-50.00000,-37.00000,0.025
-49.00000,-37.00000,0.027
-48.00000,-37.00000,0.029
-47.00000,-37.00000,0.031
-46.00000,-37.00000,0.029
-45.00000,-37.00000,0.027
-44.00000,-37.00000,0.024
-43.00000,-37.00000,0.021
-42.00000,-37.00000,0.018
-41.00000,-37.00000,0.016
-40.00000,-37.00000,0.014
-39.00000,-37.00000,0.012
-38.00000,-37.00000,0.010
-37.00000,-37.00000,0.008
-36.00000,-37.00000,0.007
-35.00000,-37.00000,0.006
-34.00000,-37.00000,0.005
-33.00000,-37.00000,0.004
-32.00000,-37.00000,0.003
-31.00000,-37.00000,0.003
-80.00000,-36.00000,0.001
-79.00000,-36.00000,0.001
-78.00000,-36.00000,0.001
-77.00000,-36.00000,0.001
-76.00000,-36.00000,0.002
-75.00000,-36.00000,0.002
-74.00000,-36.00000,0.002
-73.00000,-36.00000,0.003
-72.00000,-36.00000,0.003
-71.00000,-36.00000,0.004
-70.00000,-36.00000,0.005
-69.00000,-36.00000,0.006
-68.00000,-36.00000,0.007
-67.00000,-36.00000,0.008
-66.00000,-36.00000,0.009
-65.00000,-36.00000,0.010
-64.00000,-36.00000,0.012
-63.00000,-36.00000,0.013
-62.00000,-36.00000,0.014
-61.00000,-36.00000,0.016
-60.00000,-36.00000,0.018
-59.00000,-36.00000,0.020
-58.00000,-36.00000,0.022
-57.00000,-36.00000,0.022
-56.00000,-36.00000,0.024
-55.00000,-36.00000,0.025
-54.00000,-36.00000,0.026
-53.00000,-36.00000,0.027
-52.00000,-36.00000,0.028
-51.00000,-36.00000,0.028
-50.00000,-36.00000,0.029
-49.00000,-36.00000,0.031
-48.00000,-36.00000,0.033
-47.00000,-36.00000,0.035
-46.00000,-36.00000,0.035
-45.00000,-36.00000,0.032
-44.00000,-36.00000,0.029
-43.00000,-36.00000,0.025
-42.00000,-36.00000,0.022
-41.00000,-36.00000,0.020
-40.00000,-36.00000,0.017
-39.00000,-36.00000,0.015
-38.00000,-36.00000,0.013
-37.00000,-36.00000,0.012
-36.00000,-36.00000,0.010
-35.00000,-36.00000,0.009
-34.00000,-36.00000,0.007
-33.00000,-36.00000,0.006
-32.00000,-36.00000,0.005
-31.00000,-36.00000,0.004
-80.00000,-35.00000,0.001
-79.00000,-35.00000,0.001
-78.00000,-35.00000,0.002
-77.00000,-35.00000,0.002
-76.00000,-35.00000,0.002
-75.00000,-35.00000,0.002
-74.00000,-35.00000,0.003
-73.00000,-35.00000,0.003
-72.00000,-35.00000,0.004
-71.00000,-35.00000,0.005
-70.00000,-35.00000,0.007
-69.00000,-35.00000,0.008
-68.00000,-35.00000,0.009
-67.00000,-35.00000,0.011
-66.00000,-35.00000,0.012
-65.00000,-35.00000,0.014
-64.00000,-35.00000,0.015
-63.00000,-35.00000,0.018
-62.00000,-35.00000,0.019
-61.00000,-35.00000,0.020
-60.00000,-35.00000,0.021
-59.00000,-35.00000,0.025
-58.00000,-35.00000,0.030
-57.00000,-35.00000,0.032
-56.00000,-35.00000,0.035
-55.00000,-35.00000,0.036
-54.00000,-35.00000,0.038
-53.00000,-35.00000,0.039
-52.00000,-35.00000,0.041
-51.00000,-35.00000,0.042
-50.00000,-35.00000,0.043
-49.00000,-35.00000,0.044
