year,month,day,hour,minute,second,latitude,longitude,depth,magnitude
2014,3,24,17,19,50,-19.6632,-70.9566,17.7,4.4
2014,3,24,15,45,31,-19.6066,-70.8161,17.9,5.6
2014,3,24,15,11,44,-19.6033,-70.8066,26.4,4.5
2014,3,24,13,12,43,-19.7686,-70.7983,19.7,4.1
2014,3,24,12,48,4,-19.9229,-70.9026,14.9,4.4
2014,3,24,12,32,50,-19.7845,-70.8192,20.8,4.9
2014,3,24,11,40,44,-19.8074,-70.8315,22.6,5.5
2014,3,24,11,32,14,-19.8326,-70.8137,19.8,5.2
2014,3,24,11,26,38,-19.843,-70.8516,17.6,5.5
2014,3,23,23,55,48,-19.9621,-70.7959,21,4.4
2014,3,23,22,4,26,-19.819,-70.7278,18.2,4.9
2014,3,23,21,17,27,-19.7176,-70.5154,21.7,4.7
2014,3,23,20,23,3,-19.9054,-70.9339,23.4,5.3
2014,3,23,20,7,12,-19.7452,-70.9763,24.7,4.7
2014,3,23,18,20,3,-19.7438,-70.8107,34.6,6
2014,3,23,16,45,14,-19.6979,-71.0954,20.7,4.5
2014,3,23,12,48,5,-19.7398,-71.0126,16.7,4.8
2014,3,23,10,23,5,-19.7479,-70.8446,20.3,4.8
2014,3,23,10,10,53,-20.089,-68.829,118.3,4.5
2014,3,22,22,14,56,-19.7087,-71.028,10,5.1
2014,3,22,17,35,25,-19.74,-70.937,27.5,4.1
2014,3,22,17,27,23,-19.72,-70.886,38.3,3.9
2014,3,22,15,52,29,-19.755,-70.9947,16.7,4.4
2014,3,22,14,15,38,-19.8229,-70.8906,22.6,5
2014,3,22,13,29,57,-19.7701,-70.9728,10,5.5
2014,3,22,13,22,47,-19.8625,-70.8841,15.9,4.6
2014,3,22,13,14,58,-19.7275,-70.9075,24,5.1
2014,3,22,12,59,58,-19.7696,-70.9359,15.2,6.2
2014,3,22,5,56,5,-18.0779,-69.614,125.6,4.6
2014,3,21,5,39,43,-21.953,-70.388,28.9,4.1
2014,3,18,21,33,6,-20.0542,-70.8551,10,5
2014,3,18,21,26,47,-20.0027,-70.8066,10,5.9
2014,3,18,14,58,43,-19.4908,-71.1044,19.9,4.3
2014,3,18,14,35,58,-20.2093,-70.8441,24.7,5.1
2014,3,18,14,18,35,-20.1881,-70.7875,13.9,4.9
2014,3,18,9,30,28,-20.1058,-70.6948,21.2,5
2014,3,17,19,5,30,-20.0232,-70.6743,32.2,5.3
2014,3,17,11,29,34,-20.1588,-70.857,17.8,4.4
2014,3,17,11,12,15,-19.9298,-70.948,14.5,5.2
2014,3,17,9,12,59,-20.0791,-70.7755,15.9,4.5
2014,3,17,8,51,5,-20.0196,-70.8269,16.4,4.9
2014,3,17,8,32,36,-20.0372,-70.6372,12.4,5.3
2014,3,17,7,54,58,-20.0595,-70.8617,14.4,4.6
2014,3,17,5,19,34,-19.984,-70.8918,12,5
2014,3,17,5,11,34,-20.003,-70.8741,17,6.2
2014,3,17,3,28,21,-20.0769,-70.754,10,4.6
2014,3,17,2,41,50,-19.4584,-71.0949,11.2,4.7
2014,3,17,2,5,58,-20.0345,-70.9705,23.6,4.6
2014,3,17,1,34,55,-19.9781,-70.7659,10,5.2
2014,3,17,0,55,3,-20.0679,-70.7528,10,4.9
2014,3,17,0,12,9,-20.0609,-70.6459,10,5.1
2014,3,16,23,8,11,-20.2268,-70.7359,10,4.9
2014,3,16,22,54,9,-18.854,-69.7894,11.9,4.9
2014,3,16,22,29,35,-19.984,-70.9083,10.9,4.9
2014,3,16,21,26,27,-19.9317,-70.3046,35,5.1
