"latitude","longitude","year","month","day","magnitude","depth","hour","minute"
-38.441,-6.088,1968,1,13,3.9,0.00,1,55
-38.440,-6.090,1968,1,18,3.5,0.00,10,40
-38.440,-6.110,1968,2,4,3.2,0.00,0,0
-38.440,-6.090,1968,2,15,4.1,0.00,13,20
-38.440,-6.090,1968,2,23,4.6,0.00,14,23
-39.580,-6.920,1968,3,1,3.0,0.00,0,0
-38.460,-6.040,1968,3,18,3.7,0.00,0,0
-72.890,-8.900,1968,8,27,4.9,26.00,5,17
-60.880,-26.870,1968,10,15,5.0,20.00,19,54
-48.480,-1.320,1970,1,12,4.5,0.00,4,43
-36.210,-7.960,1970,1,29,3.9,0.00,0,0
-36.210,-7.960,1970,1,30,3.5,0.00,0,0
-73.380,-8.290,1970,3,29,4.3,25.00,8,27
-49.100,-13.500,1970,8,14,3.0,0.00,4,59
-35.530,-6.930,1970,11,1,3.9,0.00,0,0
-49.100,-13.500,1970,11,20,3.6,0.00,23,55
-44.750,-20.280,1970,12,1,3.4,0.00,0,0
-48.900,-25.100,1971,2,11,3.0,0.00,0,0
-48.800,-25.250,1971,3,1,3.7,0.00,0,0
-48.900,-25.100,1971,5,21,3.9,0.00,16,0
-49.100,-13.500,1971,7,16,3.5,0.00,19,51
-34.900,-8.040,1971,8,5,3.0,0.00,2,30
-44.750,-20.280,1971,8,8,3.5,0.00,13,32
-44.750,-20.280,1972,1,23,3.7,0.00,3,3
-36.490,-9.930,1972,3,4,3.4,0.00,21,45
-38.500,-6.210,1972,6,4,3.0,0.00,4,30
-41.700,-16.470,1972,8,1,3.9,0.00,0,0
-40.530,-21.720,1972,10,24,4.8,8.00,15,36
-49.050,-13.410,1973,7,8,3.3,0.00,22,38
-35.820,-5.280,1973,7,22,4.5,0.00,21,22
-42.540,-29.500,1974,2,3,4.4,0.00,20,20
-48.470,-20.040,1974,2,15,3.0,0.00,0,0
-48.470,-20.040,1974,2,24,4.2,0.00,3,19
-48.470,-20.040,1974,2,27,3.5,0.00,0,0
-48.470,-20.040,1974,3,1,3.2,0.00,9,0
-48.470,-20.040,1974,3,2,3.5,0.00,18,15
-51.500,-29.450,1974,3,20,3.0,0.00,0,0
-41.640,-16.420,1974,4,11,3.7,0.00,0,0
-60.600,5.580,1974,6,12,3.9,0.00,17,39
-36.060,-7.990,1974,10,20,3.7,0.00,21,37
-39.240,-3.670,1974,12,15,3.3,0.00,5,14
-61.480,5.990,1975,2,4,3.7,0.00,19,1
-42.400,-23.400,1975,3,30,3.5,0.00,17,6
-70.300,1.500,1975,6,22,3.5,0.00,14,4
-44.160,-24.940,1975,12,8,3.4,0.00,8,21
-50.460,-15.350,1976,1,5,3.7,0.00,13,6
-50.420,-24.520,1976,1,23,3.0,0.00,0,0
-59.230,0.340,1976,2,22,4.6,5.00,3,24
-50.980,-22.730,1976,4,16,3.7,0.00,0,0
-39.630,-14.880,1976,5,18,3.7,0.00,8,30
-44.750,-20.280,1976,5,23,3.2,0.00,19,0
-39.570,-14.760,1976,5,25,3.9,0.00,8,30
-35.500,-5.700,1976,6,8,3.4,0.00,21,0
-51.010,-22.840,1976,6,12,3.7,0.00,0,0
-51.010,-22.840,1976,6,13,3.7,0.00,5,0
-51.010,-22.840,1976,6,16,3.9,0.00,20,0
-51.010,-22.840,1976,6,22,3.5,0.00,1,48
-40.250,-15.250,1976,7,12,3.2,0.00,14,0
-38.800,-4.830,1976,7,27,3.0,0.00,21,0
-38.800,-4.830,1976,7,29,3.5,0.00,18,0
-39.600,-14.840,1976,8,11,3.5,0.00,20,0
-39.600,-14.840,1976,10,1,3.4,0.00,0,0
-59.800,-2.000,1976,10,8,4.0,0.00,20,1
-35.750,-5.710,1977,2,25,3.6,0.00,13,40
-38.800,-4.830,1977,3,12,3.9,0.00,7,0
-42.600,-23.300,1977,6,19,3.5,0.00,3,3
-49.970,-0.080,1977,8,2,4.8,0.00,17,45
-47.770,-20.730,1977,9,4,2.8,0.00,15,45
-45.600,-23.420,1977,11,2,2.8,0.00,12,0
-45.600,-23.420,1977,11,4,3.1,0.00,0,0
-45.600,-23.420,1977,11,16,3.3,0.00,23,20
-43.500,-15.800,1977,11,20,3.7,0.00,14,46
-36.030,-6.280,1978,2,10,3.7,0.00,0,0
-47.770,-20.730,1978,3,18,3.3,0.00,1,30
-48.500,-24.960,1978,3,19,3.3,0.00,5,33
-61.940,-10.890,1978,4,18,3.5,0.00,0,0
-51.270,-16.100,1978,10,5,2.8,0.00,9,38
-58.700,-24.000,1979,1,16,4.0,0.00,5,38
-56.360,-21.020,1979,1,21,3.6,0.00,17,49
-51.010,-22.840,1979,3,27,3.7,0.00,12,54
-45.730,-24.690,1979,6,13,2.8,0.00,16,52
-57.500,-24.000,1979,7,20,3.0,0.00,7,0
-45.600,-25.200,1979,8,13,3.0,0.00,18,41
-49.950,-15.260,1979,8,22,3.5,0.00,23,1
-45.600,-23.420,1979,10,19,3.0,0.00,15,25
-55.800,-20.000,1979,12,8,3.8,0.00,5,5
-71.160,-6.170,1980,3,6,4.8,18.00,9,46
-47.330,-20.070,1980,7,3,2.8,0.00,22,10
-49.800,-0.400,1980,10,18,3.1,0.00,21,41
-49.390,-14.410,1980,10,24,3.1,0.00,21,49
-50.300,-5.800,1980,11,5,3.5,0.00,1,22
-50.240,-8.070,1980,11,12,4.7,0.00,21,23
-38.400,-4.300,1980,11,20,5.2,5.00,3,29
-58.250,-26.250,1980,11,21,3.8,0.00,1,29
-56.200,-16.600,1980,12,14,3.6,0.00,0,0
-38.400,-4.300,1981,1,2,3.6,0.00,4,14
-47.500,-5.000,1981,1,6,3.4,0.00,19,51
-38.400,-4.300,1981,1,12,3.8,0.00,3,33
-46.700,-20.710,1981,1,18,3.3,0.00,16,19
-57.640,-11.010,1981,3,9,3.8,0.00,20,27
-48.340,-20.580,1981,3,24,2.8,0.00,22,10
-62.200,-10.740,1981,4,1,3.2,0.00,20,1
-39.500,-22.600,1981,5,7,3.7,0.00,3,44
-46.090,-21.450,1981,9,11,3.1,0.00,10,24
-54.550,-16.860,1981,10,13,3.2,0.00,8,5
-38.450,-8.610,1981,11,2,3.4,0.00,14,57
-38.500,-8.590,1981,11,4,3.1,0.00,3,16
-34.000,-4.000,1982,1,30,3.5,0.00,16,42
-42.100,-23.400,1982,3,10,3.2,0.00,7,57
-41.630,-23.600,1982,3,12,3.5,0.00,17,14
-38.230,-9.310,1982,3,29,3.6,0.00,7,47
-58.100,-24.800,1982,4,8,4.9,12.00,5,58
-55.000,-22.200,1982,4,16,3.4,0.00,22,38
-46.650,-21.640,1982,5,2,3.1,0.00,8,30
-48.200,-12.700,1982,5,17,3.0,0.00,3,57
-45.720,-14.260,1982,7,23,2.9,0.00,11,6
-47.100,-19.600,1982,8,26,3.2,0.00,1,7
-41.460,-16.510,1982,9,5,3.2,0.00,6,30
-45.420,-25.840,1982,9,17,3.8,0.00,12,28
-44.800,-18.800,1982,9,21,3.1,0.00,1,42
-45.500,-12.300,1982,10,10,2.8,0.00,19,28
-45.800,-20.760,1982,11,24,3.2,0.00,23,3
-47.800,-24.300,1983,1,2,2.9,0.00,6,40
-60.180,-26.280,1983,2,8,4.8,0.00,18,38
-62.200,-10.700,1983,2,21,3.2,0.00,5,38
-41.700,-16.470,1983,3,7,3.3,0.00,11,51
-35.580,-8.670,1983,5,5,3.0,0.00,21,40
-35.580,-8.670,1983,5,7,3.5,0.00,18,30
-44.630,-14.320,1983,6,1,3.2,0.00,14,57
-62.140,-3.580,1983,8,5,5.5,22.91,6,21
-50.800,-14.900,1983,9,2,2.8,0.00,16,25
-63.700,-11.400,1983,10,1,3.6,0.00,18,44
-38.700,-5.100,1983,11,18,2.8,0.00,8,41
-50.570,-3.170,1983,12,4,3.7,0.00,7,17
-45.000,-17.200,1983,12,7,2.9,0.00,18,4
-35.800,-8.330,1983,12,16,3.5,0.00,23,53
-50.320,-1.100,1984,1,5,3.0,0.00,10,30
-46.400,-17.400,1984,1,5,2.8,0.00,17,23
-50.490,-1.160,1984,2,20,3.0,0.00,18,18
-40.700,-23.470,1984,2,22,3.7,0.00,8,0
-58.190,-24.440,1984,3,7,3.3,0.00,3,18
-46.760,-20.800,1984,4,8,3.8,0.00,20,56
-43.350,-24.920,1984,5,25,3.5,0.00,8,36
-49.930,-14.430,1984,6,26,3.1,0.00,20,36
0.000,0.000,1984,8,1,3.0,0.00,0,0
-54.530,-21.280,1984,8,9,3.0,0.00,19,37
-62.100,-10.700,1984,9,17,3.4,0.00,8,9
-43.910,-20.980,1984,10,9,3.0,0.00,20,20
-41.700,-16.470,1984,10,20,3.0,0.00,13,18
-35.920,-8.180,1984,11,8,3.8,0.00,12,5
-50.700,-6.900,1984,11,21,3.7,0.00,20,15
-44.130,-16.620,1984,12,9,3.2,0.00,3,22
-48.840,-12.930,1984,12,12,3.3,0.00,21,18
-60.550,-23.940,1985,4,12,5.3,21.00,14,34
-44.400,-17.300,1985,6,8,2.8,0.00,4,15
-48.043,-13.086,1985,7,20,3.8,0.00,1,5
-46.060,-23.170,1985,12,17,3.0,0.00,12,26
-50.320,-15.080,1986,1,14,3.7,0.00,20,14
-48.420,-12.910,1986,2,21,3.1,0.00,21,41
-40.400,-13.900,1986,6,12,3.0,0.00,1,43
-38.590,-6.860,1986,6,14,3.2,0.00,21,26
-42.280,-19.850,1986,8,1,3.3,0.00,19,8
-35.750,-5.530,1986,8,5,3.6,0.00,23,13
-35.737,-5.524,1986,8,21,4.4,0.00,9,34
-35.750,-5.530,1986,8,23,3.7,0.00,20,6
-35.750,-5.530,1986,8,25,3.1,0.00,14,52
-35.750,-5.530,1986,8,27,3.3,0.00,13,25
-35.750,-5.514,1986,9,5,4.5,0.00,20,39
-56.580,-11.560,1986,11,17,3.6,0.00,23,23
-35.754,-5.535,1986,11,30,5.3,3.04,5,19
-39.810,-3.720,1987,2,25,3.0,0.00,21,37
-35.750,-5.530,1987,4,28,3.6,0.00,4,59
-44.500,-20.500,1987,6,2,2.8,0.00,19,16
-35.750,-5.530,1987,6,18,3.0,0.00,16,21
-35.750,-5.530,1987,6,27,3.0,0.00,5,9
-44.100,-25.000,1987,8,27,3.6,0.00,13,1
-46.200,-21.300,1987,9,5,2.9,0.00,10,10
-43.990,-19.550,1987,9,23,3.2,0.00,1,35
-44.000,-18.900,1987,9,28,3.1,0.00,20,18
-55.150,-2.430,1987,10,14,3.5,0.00,1,8
-56.900,-11.600,1987,10,15,3.9,0.00,9,1
-73.940,-7.010,1987,10,24,5.2,0.00,21,23
-35.750,-5.530,1987,11,30,3.0,0.00,1,23
-56.900,-11.500,1987,12,10,3.5,0.00,21,36
-51.200,-6.800,1987,12,11,3.0,0.00,9,17
-40.370,-3.950,1988,4,1,4.3,8.00,0,36
-51.340,-22.100,1988,4,5,3.8,0.00,3,0
-61.660,0.920,1988,6,5,3.8,0.00,16,50
-41.480,-4.300,1988,6,11,3.1,0.00,23,59
-57.970,-20.660,1988,6,24,3.9,0.00,10,1
-35.750,-5.530,1988,6,25,3.4,0.00,11,56
-52.730,-36.270,1988,6,26,4.9,18.00,3,24
-35.750,-5.530,1988,6,29,3.9,0.00,13,14
-47.750,-20.730,1988,7,19,3.0,0.00,10,30
-56.990,-11.620,1988,8,11,3.7,0.00,7,6
-57.950,-11.630,1988,8,11,4.0,0.00,8,6
-47.960,-6.090,1988,8,30,3.5,0.00,15,40
-59.760,-3.100,1988,9,3,3.8,0.00,7,29
-56.910,-11.660,1988,10,3,3.2,0.00,5,2
-37.970,-4.820,1988,10,4,2.8,0.00,22,18
-46.970,-27.300,1988,10,12,2.9,0.00,8,16
-37.980,-4.810,1988,10,19,4.4,4.00,2,15
-35.750,-5.530,1988,11,1,3.8,0.00,14,25
-35.750,-5.530,1988,11,28,3.0,0.00,19,32
-59.380,-0.730,1988,12,10,3.8,0.00,9,52
-44.210,-23.000,1988,12,23,2.8,0.00,15,34
-48.110,-11.620,1989,1,7,3.8,0.00,3,1
-51.010,-22.930,1989,1,7,3.7,0.00,11,36
-45.470,-23.280,1989,2,3,2.8,0.00,19,32
-40.690,-24.510,1989,3,9,3.4,0.00,1,44
-45.700,-19.400,1989,3,9,3.4,0.00,19,20
-35.690,-5.460,1989,3,10,5.0,7.38,4,11
-37.970,-4.810,1989,3,26,4.9,2.71,13,25
-49.600,-13.610,1989,3,29,3.6,0.00,19,1
-35.690,-5.460,1989,5,6,3.6,0.00,19,55
-43.440,-20.300,1989,5,9,3.4,0.00,1,46
-35.690,-5.460,1989,5,22,3.0,0.00,21,9
-47.750,-20.730,1989,5,23,3.2,0.00,22,57
-48.070,-20.730,1989,6,1,3.0,0.00,21,40
-45.670,-23.370,1989,7,5,2.8,0.00,3,29
-50.800,-27.940,1989,7,28,3.2,0.00,13,0
-59.280,-10.180,1989,8,1,3.6,0.00,17,20
-40.240,-4.940,1989,8,3,2.8,0.00,16,5
-37.970,-4.810,1989,8,26,3.8,0.00,16,5
-37.970,-4.810,1989,8,28,3.9,0.00,8,6
-37.970,-4.810,1989,10,17,4.3,0.00,15,2
-37.970,-4.810,1989,10,18,3.0,0.00,15,31
-55.700,-26.550,1989,10,21,2.8,0.00,2,58
-49.860,-0.240,1989,11,26,4.0,0.00,11,21
-47.160,-19.950,1989,12,18,3.4,0.00,11,46
-40.830,-3.760,1989,12,27,3.2,0.00,19,26
-55.580,-32.680,1990,1,11,2.8,0.00,1,30
-47.160,-19.950,1990,1,19,4.2,0.00,22,5
-48.920,-31.190,1990,2,12,5.2,13.00,23,56
-44.120,-14.570,1990,3,1,3.1,1.00,21,59
-40.910,-15.500,1990,3,8,3.3,1.00,21,1
-40.300,-12.550,1990,4,30,2.9,0.00,5,31
-44.720,-25.730,1990,5,30,3.1,0.00,8,0
-46.020,-21.230,1990,6,10,2.9,0.00,3,40
-44.620,-20.110,1990,7,11,2.8,0.00,20,4
-44.520,-25.310,1990,7,28,2.9,0.00,18,5
-48.259,-11.858,1990,8,21,3.8,0.00,5,41
-46.060,-23.170,1990,9,1,2.9,0.00,15,46
-35.850,-5.650,1990,9,7,2.8,3.00,23,39
-73.280,-7.510,1990,9,8,4.0,10.00,2,58
-35.850,-5.650,1990,9,9,3.0,3.00,11,24
-35.850,-5.650,1990,9,12,3.2,3.00,20,34
-35.850,-5.650,1990,9,24,3.7,3.00,15,25
-35.850,-5.650,1990,11,3,3.1,3.00,10,46
-47.500,-12.840,1990,12,5,3.0,0.00,3,7
-44.040,-17.070,1990,12,29,2.9,0.00,21,19
-38.490,-6.060,1991,2,8,2.8,0.00,21,13
-40.910,-15.500,1991,4,19,3.0,0.00,6,10
-39.870,-3.930,1991,4,19,4.9,10.00,10,12
-35.690,-5.460,1991,4,26,3.5,0.00,14,14
-39.400,-15.080,1991,5,5,2.8,0.00,21,7
-41.750,-9.020,1991,5,12,2.9,0.00,6,50
-52.340,-13.150,1991,8,25,2.9,0.00,2,35
-48.430,-24.600,1991,9,3,2.8,0.00,20,46
-45.610,-19.720,1991,9,6,2.9,0.00,21,54
-43.010,-24.120,1991,10,7,3.0,0.00,15,46
-49.830,-22.880,1991,11,13,3.0,0.00,18,14
-50.750,-22.670,1991,12,4,2.9,0.00,12,15
-46.300,-13.440,1991,12,13,3.2,0.00,2,30
-44.580,-20.330,1992,1,1,3.3,0.00,20,15
-51.100,-22.720,1992,1,17,3.1,0.00,18,32
-39.670,-20.990,1992,1,28,3.6,0.00,16,5
-44.420,-26.910,1992,2,1,3.7,0.00,17,24
-36.890,-10.340,1992,2,6,2.8,0.00,7,38
-35.720,-5.490,1992,2,17,3.0,0.00,5,14
-47.270,-20.010,1992,3,2,3.6,0.00,6,6
-50.690,-24.560,1992,3,9,3.2,0.00,23,17
-35.850,-5.640,1992,4,17,3.2,0.00,21,28
-45.792,-26.799,1992,4,24,4.1,0.00,3,31
-39.830,-13.550,1992,6,9,3.0,0.00,10,27
-43.840,-21.220,1992,6,9,3.7,0.00,22,22
-41.570,1.530,1992,6,16,4.7,0.00,2,50
-46.150,-21.330,1992,6,18,2.9,0.00,23,17
-51.310,-22.030,1992,7,5,3.2,0.00,7,34
-43.660,-21.090,1992,7,5,3.1,0.00,9,55
-44.160,-19.950,1992,7,25,2.8,0.00,23,18
-40.570,-11.730,1992,8,13,2.8,0.00,18,20
-39.030,-12.780,1992,8,25,3.2,0.00,17,26
-43.970,-19.800,1992,10,15,3.0,0.00,19,33
-46.330,-24.890,1992,12,9,3.4,0.00,16,21
-35.840,-5.630,1993,2,1,3.0,0.00,16,9
-45.400,-20.580,1993,3,9,3.1,1.00,8,56
-40.700,-21.600,1993,5,10,3.2,0.00,15,15
-45.400,-20.580,1993,5,12,2.9,1.00,0,37
-43.000,-23.910,1993,5,21,3.6,0.00,10,32
-57.300,-29.830,1993,6,5,3.4,0.00,5,51
-51.030,-14.790,1993,7,12,4.1,0.00,8,29
-37.070,-10.490,1993,9,25,3.5,0.00,20,27
-37.070,-10.490,1993,9,27,3.5,0.00,3,56
-36.020,-8.280,1993,10,10,3.3,0.00,0,58
-44.970,-15.140,1993,10,18,3.3,0.00,6,18
-50.430,-5.300,1993,11,18,3.9,0.00,15,22
-44.470,-20.320,1993,12,27,3.9,2.30,22,48
