eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
,,1965,8,12,0,0,0.0,,-44.719999999999999,-19.940000000000001,,,,0.0,,3.2999999999999998,,
,,1965,8,15,19,36,0.0,,-60.119999999999997,2.6800000000000002,,,,0.0,,4.9000000000000004,,
,,1966,11,15,8,0,0.0,,-46.0,-20.800000000000001,,,,0.0,,3.2000000000000002,,
,,1967,1,21,18,59,0.0,,-35.979999999999997,-8.1999999999999993,,,,0.0,,3.7999999999999998,,
,,1967,3,23,21,12,0.0,,-45.0,-23.300000000000001,,,,0.0,,4.0999999999999996,,
,,1967,8,5,9,56,0.0,,-43.119999999999997,-22.850000000000001,,,,0.0,,3.6000000000000001,,
,,1967,8,9,7,14,0.0,,-73.829999999999998,-8.4499999999999993,,,,42.0,,5.0999999999999996,,
,,1968,2,23,14,23,0.0,,-38.439999999999998,-6.0899999999999999,,,,0.0,,4.5999999999999996,,
,,1968,2,23,14,37,0.0,,-38.439999999999998,-6.0899999999999999,,,,0.0,,3.0,,
,,1968,2,23,15,21,0.0,,-38.439999999999998,-6.0899999999999999,,,,0.0,,3.0,,
,,1968,2,23,15,33,0.0,,-38.439999999999998,-6.0899999999999999,,,,0.0,,3.7999999999999998,,
,,1968,3,1,0,0,0.0,,-39.579999999999998,-6.9199999999999999,,,,0.0,,3.0,,
,,1968,8,27,5,17,0.0,,-72.890000000000001,-8.9000000000000004,,,,26.0,,4.9000000000000004,,
,,1968,10,15,19,54,0.0,,-60.880000000000003,-26.870000000000001,,,,20.0,,5.0,,
,,1970,1,12,4,43,0.0,,-48.479999999999997,-1.3200000000000001,,,,0.0,,4.5,,
,,1970,1,29,0,0,0.0,,-36.210000000000001,-7.96,,,,0.0,,3.8999999999999999,,
,,1970,3,29,8,27,0.0,,-73.379999999999995,-8.2899999999999991,,,,25.0,,4.2999999999999998,,
,,1970,8,14,4,59,0.0,,-49.100000000000001,-13.5,,,,0.0,,3.0,,
,,1970,11,1,0,0,0.0,,-35.530000000000001,-6.9299999999999997,,,,0.0,,3.8999999999999999,,
,,1970,11,20,23,55,0.0,,-49.100000000000001,-13.5,,,,0.0,,3.6000000000000001,,
,,1970,12,1,0,0,0.0,,-44.75,-20.280000000000001,,,,0.0,,3.3999999999999999,,
,,1971,3,1,0,0,0.0,,-48.799999999999997,-25.25,,,,0.0,,3.7000000000000002,,
,,1971,5,21,16,0,0.0,,-48.899999999999999,-25.100000000000001,,,,0.0,,3.8999999999999999,,
,,1971,7,16,19,51,0.0,,-49.100000000000001,-13.5,,,,0.0,,3.5,,
,,1971,8,5,2,30,0.0,,-34.899999999999999,-8.0399999999999991,,,,0.0,,3.0,,
,,1971,8,8,13,32,0.0,,-44.75,-20.280000000000001,,,,0.0,,3.5,,
,,1972,1,23,3,3,0.0,,-44.75,-20.280000000000001,,,,0.0,,3.7000000000000002,,
,,1972,3,4,21,45,0.0,,-36.490000000000002,-9.9299999999999997,,,,0.0,,3.3999999999999999,,
,,1972,6,4,4,30,0.0,,-38.5,-6.21,,,,0.0,,3.0,,
,,1972,8,1,0,0,0.0,,-41.700000000000003,-16.469999999999999,,,,0.0,,3.8999999999999999,,
,,1972,10,24,15,36,0.0,,-40.530000000000001,-21.719999999999999,,,,8.0,,4.7999999999999998,,
,,1973,7,8,22,38,0.0,,-49.049999999999997,-13.41,,,,0.0,,3.2999999999999998,,
,,1973,7,22,21,22,0.0,,-35.82,-5.2800000000000002,,,,0.0,,4.2999999999999998,,
,,1973,7,22,21,33,0.0,,-35.82,-5.2800000000000002,,,,0.0,,3.0,,
,,1974,2,3,20,20,0.0,,-42.539999999999999,-29.5,,,,0.0,,4.4000000000000004,,
,,1974,2,24,3,19,0.0,,-48.469999999999999,-20.039999999999999,,,,0.0,,4.2000000000000002,,
,,1974,3,20,0,0,0.0,,-51.5,-29.449999999999999,,,,0.0,,3.0,,
,,1974,4,11,0,0,0.0,,-41.640000000000001,-16.420000000000002,,,,0.0,,3.7000000000000002,,
,,1974,6,12,17,39,0.0,,-60.600000000000001,5.5800000000000001,,,,0.0,,3.8999999999999999,,
,,1974,10,20,21,37,0.0,,-36.060000000000002,-7.9900000000000002,,,,0.0,,3.6000000000000001,,
,,1974,10,20,21,59,0.0,,-36.060000000000002,-7.9900000000000002,,,,0.0,,2.8999999999999999,,
,,1974,12,15,5,14,0.0,,-39.240000000000002,-3.6699999999999999,,,,0.0,,3.2999999999999998,,
,,1975,2,4,19,1,0.0,,-61.479999999999997,5.9900000000000002,,,,0.0,,3.7000000000000002,,
,,1975,3,30,17,6,0.0,,-42.399999999999999,-23.399999999999999,,,,0.0,,3.5,,
,,1975,6,22,14,4,0.0,,-70.299999999999997,1.5,,,,0.0,,3.5,,
