eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
,,1918,5,25,19,29,20.0,,-92.5,-30.5,,,,60.0,,7.0,,
,,1918,6,11,12,36,30.0,,-62.5,19.0,,,,35.0,,5.7999999999999998,,
,,1918,10,11,14,14,30.0,,-67.5,18.5,,,,35.0,,7.5,,
,,1918,12,4,11,47,48.0,,-71.0,-26.0,,,,35.0,,7.7999999999999998,,
,,1919,3,2,3,26,50.0,,-73.5,-41.0,,,,40.0,,7.2000000000000002,,
,,1919,3,2,11,45,17.0,,-73.5,-41.0,,,,40.0,,7.2999999999999998,,
,,1919,4,17,20,53,3.0,,-91.75,14.5,,,,35.0,,7.0,,
,,1919,6,5,4,20,0.0,,-21.030000000000001,-44.75,,,,0.0,,3.2000000000000002,,
,,1919,6,29,23,14,23.0,,-86.5,13.5,,,,90.0,,6.7999999999999998,,
,,1919,7,11,0,30,38.0,,-72.0,8.0,,,,35.0,,6.2000000000000002,,
,,1919,7,22,22,1,35.0,,-85.0,12.0,,,,150.0,,6.5,,
,,1919,9,6,9,29,49.0,,-64.5,19.5,,,,35.0,,6.2000000000000002,,
,,1919,11,6,7,13,12.0,,-58.0,13.5,,,,35.0,,5.7999999999999998,,
,,1919,11,23,4,20,0.0,,-12.65,-38.619999999999997,,,,0.0,,4.2000000000000002,,
,,1919,11,24,6,0,0.0,,-3.8700000000000001,-38.920000000000002,,,,0.0,,4.5,,
,,1920,1,30,18,26,45.0,,-77.5,3.0,,,,35.0,,6.0,,
,,1920,1,31,11,10,0.0,,-21.030000000000001,-44.75,,,,0.0,,4.0,,
,,1920,2,10,22,7,15.0,,-67.5,18.0,,,,35.0,,6.5,,
,,1920,7,16,17,14,15.0,,-87.0,10.0,,,,35.0,,6.0,,
,,1920,8,3,19,57,12.0,,-70.0,-27.5,,,,35.0,,6.7999999999999998,,
,,1920,8,12,6,21,1.0,,-46.0,25.0,,,,35.0,,5.5999999999999996,,
,,1920,8,13,2,3,0.0,,-68.0,-20.0,,,,150.0,,6.5,,
,,1920,9,24,21,55,0.0,,-83.0,6.0,,,,35.0,,6.5,,
,,1920,11,12,5,41,58.0,,-28.0,1.0,,,,35.0,,6.5,,
,,1920,12,10,4,25,40.0,,-73.0,-39.0,,,,35.0,,7.4000000000000004,,
,,1921,2,4,8,22,44.0,,-91.0,15.0,,,,120.0,,7.5,,
,,1921,3,28,7,49,22.0,,-87.5,12.5,,,,35.0,,7.2999999999999998,,
,,1921,9,13,2,36,54.0,,-29.0,-55.0,,,,35.0,,7.2000000000000002,,
,,1921,10,20,6,3,24.0,,-68.0,-18.5,,,,120.0,,7.0,,
,,1921,11,13,8,40,45.0,,-71.0,10.5,,,,35.0,,6.2000000000000002,,
,,1921,12,18,15,29,35.0,,-71.0,-2.5,,,,650.0,,7.5999999999999996,,
,,1922,1,6,14,11,2.0,,-73.0,-16.5,,,,35.0,,7.2000000000000002,,
,,1922,1,9,5,9,34.0,,-46.0,24.0,,,,35.0,,7.0999999999999996,,
,,1922,1,27,6,50,0.0,,-22.170000000000002,-47.039999999999999,,,,0.0,,5.0999999999999996,,
