# gsimlt_path=b1,smlt_path=b1,imt=PGA,investigation_time=50.0
lon,lat,iml
-75.4252,-30.1244,0.005
-75.3783,-31.1137,0.005
-75.3289,-32.1029,0.005
-75.2771,-33.0922,0.005
-75.2226,-34.0815,0.005
-75.1654,-35.0707,0.005
-75.1054,-36.06,0.005
-75.0536,-0.446823,0.00514243
-75.0535,0.542431,0.005
-75.0522,-1.43608,0.00690637
-75.052,1.53168,0.005
-75.0493,-2.42533,0.00878529
-75.0489,2.52094,0.005
-75.0449,-3.41458,0.0107853
-75.0444,3.51019,0.005
-75.0424,-37.0492,0.005
-75.0391,-4.40384,0.0126241
-75.0384,4.49945,0.005
-75.0317,-5.39309,0.0142299
-75.031,5.4887,0.005
-75.0229,-6.38235,0.0154037
-75.022,6.47795,0.005
-75.0125,-7.3716,0.0160109
-75.0114,7.46721,0.005
-75.0006,-8.36085,0.0160277
-74.9994,8.45646,0.005
-74.9871,-9.35011,0.0154561
-74.9858,9.44571,0.005
-74.9721,-10.3394,0.0143577
-74.9706,10.435,0.005
-74.9555,-11.3286,0.0126627
-74.9538,11.4242,0.005
-74.9372,-12.3179,0.0105655
-74.9354,12.4135,0.005
-74.9173,-13.3071,0.00817776
-74.9153,13.4027,0.005
-74.8957,-14.2964,0.00578706
-74.8935,14.392,0.005
-74.8724,-15.2856,0.005
-74.8473,-16.2749,0.005
-74.8204,-17.2641,0.005
-74.7917,-18.2534,0.005
-74.7611,-19.2426,0.005
-74.7286,-20.2319,0.005
-74.694,-21.2212,0.005
-74.6574,-22.2104,0.005
-74.6187,-23.1997,0.005
-74.5778,-24.1889,0.005
-74.5346,-25.1782,0.005
-74.489,-26.1674,0.005
-74.4411,-27.1567,0.005
-74.3905,-28.1459,0.005
-74.3374,-29.1352,0.005
-74.2815,-30.1244,0.005
-74.2228,-31.1137,0.005
-74.1611,-32.1029,0.005
-74.0963,-33.0922,0.005
-74.0643,-0.446823,0.0108508
-74.0642,0.542431,0.00809526
-74.0626,-1.43608,0.0139216
-74.0624,1.53168,0.00571272
-74.0592,-2.42533,0.0170737
-74.0587,2.52094,0.005
-74.0539,-3.41458,0.0202782
-74.0533,3.51019,0.005
-74.0469,-4.40384,0.0231974
-74.0461,4.49945,0.005
-74.0381,-5.39309,0.0256684
-74.0371,5.4887,0.005
-74.0283,-34.0815,0.005
-74.0275,-6.38235,0.027414
-74.0263,6.47795,0.005
-74.015,-7.3716,0.02819
-74.0137,7.46721,0.005
-74.0007,-8.36085,0.0280393
-73.9992,8.45646,0.005
-73.9846,-9.35011,0.0270235
-73.9829,9.44571,0.005
-73.9665,-10.3394,0.0251356
-73.9647,10.435,0.005
-73.9568,-35.0707,0.005
-73.9466,-11.3286,0.0226174
-73.9445,11.4242,0.005
-73.9246,-12.3179,0.0196551
-73.9224,12.4135,0.005
-73.9007,-13.3071,0.0160329
-73.8983,13.4027,0.005
-73.8817,-36.06,0.005
-73.8748,-14.2964,0.0119086
-73.8722,14.392,0.005
-73.8468,-15.2856,0.00755969
-73.8168,-16.2749,0.005
-73.8029,-37.0492,0.005
-73.7845,-17.2641,0.005
-73.75,-18.2534,0.005
-73.7202,-38.0385,0.005
-73.7133,-19.2426,0.005
-73.6743,-20.2319,0.005
-73.6328,-21.2212,0.005
-73.5889,-22.2104,0.005
-73.5424,-23.1997,0.005
-73.4933,-24.1889,0.005
-73.4415,-25.1782,0.005
-73.3868,-26.1674,0.005
-73.3293,-27.1567,0.005
-73.2687,-28.1459,0.005
-73.2049,-29.1352,0.005
-73.1379,-30.1244,0.005
-73.075,-0.446823,0.0148367
-73.0749,0.542431,0.0113682
-73.073,-1.43608,0.0185363
-73.0727,1.53168,0.00825863
-73.069,-2.42533,0.0222329
-73.0685,2.52094,0.00557757
-73.0674,-31.1137,0.005
-73.0629,-3.41458,0.0258671
-73.0622,3.51019,0.005
-73.0547,-4.40384,0.0290469
-73.0538,4.49945,0.005
-73.0444,-5.39309,0.0315213
-73.0433,5.4887,0.005
-73.032,-6.38235,0.0330765
-73.0307,6.47795,0.005
-73.0175,-7.3716,0.0335648
-73.016,7.46721,0.005
-73.0009,-8.36085,0.0329921
-72.9991,8.45646,0.005
-72.9934,-32.1029,0.005
-72.982,-9.35011,0.0315063
-72.9801,9.44571,0.005
-72.9609,-10.3394,0.0293283
-72.9588,10.435,0.005
-72.9377,-11.3286,0.0266689
-72.9353,11.4242,0.005
-72.9156,-33.0922,0.005
-72.9121,-12.3179,0.0234507
-72.9095,12.4135,0.005
-72.8842,-13.3071,0.0198912
-72.8814,13.4027,0.005
-72.854,-14.2964,0.015345
-72.8509,14.392,0.005
-72.8339,-34.0815,0.005
-72.8213,-15.2856,0.00969973
-72.7862,-16.2749,0.00522397
-72.7486,-17.2641,0.005
-72.7481,-35.0707,0.005
-72.7084,-18.2534,0.005
-72.6655,-19.2426,0.005
-72.6581,-36.06,0.005
-72.62,-20.2319,0.005
-72.5716,-21.2212,0.005
-72.5635,-37.0492,0.005
-72.5204,-22.2104,0.005
-72.4661,-23.1997,0.005
-72.4642,-38.0385,0.005
-72.4089,-24.1889,0.005
-72.3484,-25.1782,0.005
-72.2846,-26.1674,0.005
-72.2175,-27.1567,0.005
-72.1468,-28.1459,0.005
-72.0857,-0.446823,0.0136652
-72.0856,0.542431,0.0103338
-72.0835,-1.43608,0.0170965
-72.0831,1.53168,0.00735602
-72.0789,-2.42533,0.0206049
-72.0783,2.52094,0.005
-72.0724,-29.1352,0.005
-72.0719,-3.41458,0.0238433
-72.0711,3.51019,0.005
-72.0625,-4.40384,0.0267133
-72.0615,4.49945,0.005
-72.0508,-5.39309,0.0287523
-72.0495,5.4887,0.005
-72.0366,-6.38235,0.0298833
-72.0351,6.47795,0.005
-72.02,-7.3716,0.0300452
-72.0183,7.46721,0.005
-72.001,-8.36085,0.0293086
-71.999,8.45646,0.005
-71.9942,-30.1244,0.005
-71.9794,-9.35011,0.0278618
-71.9772,9.44571,0.005
-71.9554,-10.3394,0.0258203
-71.9529,10.435,0.005
-71.9287,-11.3286,0.0233809
-71.926,11.4242,0.005
-71.912,-31.1137,0.005
-71.8995,-12.3179,0.0206838
-71.8966,12.4135,0.005
-71.8677,-13.3071,0.0174209
-71.8644,13.4027,0.005
-71.8331,-14.2964,0.0130375
-71.8296,14.392,0.005
-71.8256,-32.1029,0.005
-71.7958,-15.2856,0.00781802
-71.7557,-16.2749,0.005
-71.7349,-33.0922,0.005
-71.7127,-17.2641,0.005
-71.6667,-18.2534,0.005
-71.6396,-34.0815,0.005
-71.6178,-19.2426,0.005
-71.5657,-20.2319,0.005
-71.5395,-35.0707,0.005
-71.5104,-21.2212,0.005
-71.4518,-22.2104,0.005
-71.4344,-36.06,0.005
-71.3899,-23.1997,0.005
-71.3244,-24.1889,0.005
-71.3241,-37.0492,0.005
-71.2553,-25.1782,0.005
-71.2083,-38.0385,0.005
-71.1824,-26.1674,0.005
-71.1057,-27.1567,0.005
-71.0964,-0.446823,0.00857341
-71.0963,0.542431,0.00606435
-71.0939,-1.43608,0.0114004
-71.0935,1.53168,0.005
-71.0887,-2.42533,0.0144019
-71.0881,2.52094,0.005
-71.0809,-3.41458,0.0172597
-71.08,3.51019,0.005
-71.0704,-4.40384,0.0198109
-71.0692,4.49945,0.005
-71.0571,-5.39309,0.0216553
-71.0557,5.4887,0.005
-71.0412,-6.38235,0.0227466
-71.0395,6.47795,0.005
-71.0249,-28.1459,0.005
-71.0225,-7.3716,0.0230616
-71.0206,7.46721,0.005
-71.0011,-8.36085,0.0227179
-70.9989,8.45646,0.005
-70.9769,-9.35011,0.0219006
-70.9744,9.44571,0.005
-70.9498,-10.3394,0.0207248
-70.947,10.435,0.005
-70.9399,-29.1352,0.005
-70.9198,-11.3286,0.019318
-70.9168,11.4242,0.005
-70.887,-12.3179,0.0173784
-70.8836,12.4135,0.005
-70.8511,-13.3071,0.0147159
-70.8505,-30.1244,0.005
-70.8475,13.4027,0.005
-70.8122,-14.2964,0.0105494
-70.8083,14.392,0.005
-70.7703,-15.2856,0.00625521
-70.7565,-31.1137,0.005
-70.7251,-16.2749,0.005
-70.6768,-17.2641,0.005
-70.6578,-32.1029,0.005
-70.6251,-18.2534,0.005
-70.57,-19.2426,0.005
-70.5541,-33.0922,0.005
-70.5114,-20.2319,0.005
-70.4492,-21.2212,0.005
-70.4452,-34.0815,0.005
-70.3833,-22.2104,0.005
-70.3309,-35.0707,0.005
-70.3136,-23.1997,0.005
-70.24,-24.1889,0.005
-70.2108,-36.06,0.005
-70.1622,-25.1782,0.005
-70.1072,-0.446823,0.005
-70.107,0.542431,0.005
-70.1044,-1.43608,0.00557421
-70.1039,1.53168,0.005
-70.0986,-2.42533,0.00767504
-70.0979,2.52094,0.005
-70.0899,-3.41458,0.00995737
-70.0889,3.51019,0.005
-70.0847,-37.0492,0.005
-70.0802,-26.1674,0.005
-70.0782,-4.40384,0.012142
-70.0769,4.49945,0.005
-70.0635,-5.39309,0.0141811
-70.0619,5.4887,0.005
-70.0458,-6.38235,0.0158143
-70.0439,6.47795,0.005
-70.025,-7.3716,0.0171267
-70.0229,7.46721,0.005
-70.0012,-8.36085,0.0181201
-69.9987,8.45646,0.005
-69.9939,-27.1567,0.005
-69.9743,-9.35011,0.018772
-69.9715,9.44571,0.005
-69.9523,-38.0385,0.005
-69.9442,-10.3394,0.0190323
-69.9411,10.435,0.005
-69.9109,-11.3286,0.0188777
-69.9075,11.4242,0.005
-69.903,-28.1459,0.005
-69.8744,-12.3179,0.0181486
-69.8707,12.4135,0.005
-69.8346,-13.3071,0.0161871
-69.8306,13.4027,0.005
-69.8073,-29.1352,0.005
-69.7914,-14.2964,0.0114279
-69.787,14.392,0.005
-69.7447,-15.2856,0.00615362
-69.7068,-30.1244,0.005
-69.6946,-16.2749,0.005
-69.6408,-17.2641,0.005
-69.6011,-31.1137,0.005
-69.5834,-18.2534,0.005
-69.5222,-19.2426,0.005
-69.49,-32.1029,0.005
-69.4571,-20.2319,0.005
-69.388,-21.2212,0.005
-69.3734,-33.0922,0.005
-69.3148,-22.2104,0.005
-69.2509,-34.0815,0.005
-69.2374,-23.1997,0.005
-69.1555,-24.1889,0.005
-69.1222,-35.0707,0.005
-69.1179,-0.446823,0.005
-69.1177,0.542431,0.005
-69.1148,-1.43608,0.005
-69.1143,1.53168,0.005
-69.1085,-2.42533,0.005
-69.1077,2.52094,0.005
-69.0989,-3.41458,0.005
-69.0978,3.51019,0.005
-69.086,-4.40384,0.00562417
-69.0846,4.49945,0.005
-69.0698,-5.39309,0.00746831
-69.0691,-25.1782,0.005
-69.0681,5.4887,0.005
-69.0504,-6.38235,0.00946064
-69.0483,6.47795,0.005
-69.0275,-7.3716,0.0113276
-69.0252,7.46721,0.005
-69.0013,-8.36085,0.0129233
-68.9986,8.45646,0.005
-68.9871,-36.06,0.005
-68.9781,-26.1674,0.005
-68.9717,-9.35011,0.0139856
-68.9687,9.44571,0.005
-68.9386,-10.3394,0.0143642
-68.9352,10.435,0.005
-68.902,-11.3286,0.0141002
-68.8983,11.4242,0.005
-68.8821,-27.1567,0.005
-68.8618,-12.3179,0.0129677
-68.8578,12.4135,0.005
-68.8453,-37.0492,0.005
-68.818,-13.3071,0.0103699
-68.8136,13.4027,0.005
-68.7811,-28.1459,0.005
-68.7705,-14.2964,0.00658844
-68.7657,14.392,0.005
-68.7192,-15.2856,0.005
-68.6963,-38.0385,0.005
-68.6748,-29.1352,0.005
-68.664,-16.2749,0.005
-68.6049,-17.2641,0.005
-68.5631,-30.1244,0.005
-68.5418,-18.2534,0.005
-68.4744,-19.2426,0.005
-68.4457,-31.1137,0.005
-68.4028,-20.2319,0.005
-68.3268,-21.2212,0.005
-68.3223,-32.1029,0.005
-68.2463,-22.2104,0.005
-68.1926,-33.0922,0.005
