Longitude,Latitude,Depth,m_min,m_bin,a0_value
-79.75000,-36.75000,0.000,3.00,0.50,-2.215944e+00
-79.25000,-36.75000,0.000,3.00,0.50,-2.212744e+00
-78.75000,-36.75000,0.000,3.00,0.50,-2.209499e+00
-78.25000,-36.75000,0.000,3.00,0.50,-2.206207e+00
-77.75000,-36.75000,0.000,3.00,0.50,-2.202867e+00
-77.25000,-36.75000,0.000,3.00,0.50,-2.199477e+00
-76.75000,-36.75000,0.000,3.00,0.50,-2.196037e+00
-76.25000,-36.75000,0.000,3.00,0.50,-2.192545e+00
-75.75000,-36.75000,0.000,3.00,0.50,-2.043543e+00
-75.25000,-36.75000,0.000,3.00,0.50,-2.039964e+00
-74.75000,-36.75000,0.000,3.00,0.50,-2.036328e+00
-74.25000,-36.75000,0.000,3.00,0.50,-2.032636e+00
-73.75000,-36.75000,0.000,3.00,0.50,-2.028886e+00
-73.25000,-36.75000,0.000,3.00,0.50,-2.025075e+00
-72.75000,-36.75000,0.000,3.00,0.50,-2.021203e+00
-72.25000,-36.75000,0.000,3.00,0.50,-2.017269e+00
-71.75000,-36.75000,0.000,3.00,0.50,-1.606435e+00
-71.25000,-36.75000,0.000,3.00,0.50,-1.602027e+00
-70.75000,-36.75000,0.000,3.00,0.50,-1.597607e+00
-70.25000,-36.75000,0.000,3.00,0.50,-1.593185e+00
-69.75000,-36.75000,0.000,3.00,0.50,-1.588768e+00
-69.25000,-36.75000,0.000,3.00,0.50,-1.584365e+00
-68.75000,-36.75000,0.000,3.00,0.50,-1.579988e+00
-68.25000,-36.75000,0.000,3.00,0.50,-1.575646e+00
-67.75000,-36.75000,0.000,3.00,0.50,-1.571355e+00
-67.25000,-36.75000,0.000,3.00,0.50,-1.567126e+00
-66.75000,-36.75000,0.000,3.00,0.50,-1.562976e+00
-66.25000,-36.75000,0.000,3.00,0.50,-1.558921e+00
-65.75000,-36.75000,0.000,3.00,0.50,-1.367753e+00
-65.25000,-36.75000,0.000,3.00,0.50,-1.364512e+00
-64.75000,-36.75000,0.000,3.00,0.50,-1.361432e+00
-64.25000,-36.75000,0.000,3.00,0.50,-1.358527e+00
-63.75000,-36.75000,0.000,3.00,0.50,-1.228114e+00
-63.25000,-36.75000,0.000,3.00,0.50,-1.224685e+00
-62.75000,-36.75000,0.000,3.00,0.50,-1.221383e+00
-62.25000,-36.75000,0.000,3.00,0.50,-1.218217e+00
-61.75000,-36.75000,0.000,3.00,0.50,-1.053084e+00
-61.25000,-36.75000,0.000,3.00,0.50,-1.047249e+00
-60.75000,-36.75000,0.000,3.00,0.50,-1.041239e+00
-60.25000,-36.75000,0.000,3.00,0.50,-1.035012e+00
-59.75000,-36.75000,0.000,3.00,0.50,-1.028515e+00
-59.25000,-36.75000,0.000,3.00,0.50,-1.021680e+00
-58.75000,-36.75000,0.000,3.00,0.50,-1.014419e+00
-58.25000,-36.75000,0.000,3.00,0.50,-1.006620e+00
-57.75000,-36.75000,0.000,3.00,0.50,-9.981348e-01
-57.25000,-36.75000,0.000,3.00,0.50,-9.887690e-01
-56.75000,-36.75000,0.000,3.00,0.50,-9.782583e-01
-56.25000,-36.75000,0.000,3.00,0.50,-9.662344e-01
-55.75000,-36.75000,0.000,3.00,0.50,-9.521655e-01
-55.25000,-36.75000,0.000,3.00,0.50,-9.352494e-01
-54.75000,-36.75000,0.000,3.00,0.50,-9.139674e-01
-54.25000,-36.75000,0.000,3.00,0.50,-8.859817e-01
-53.75000,-36.75000,0.000,3.00,0.50,-8.484675e-01
-53.25000,-36.75000,0.000,3.00,0.50,-7.986248e-01
-52.75000,-36.75000,0.000,3.00,0.50,-7.609831e-01
-52.25000,-36.75000,0.000,3.00,0.50,-7.927836e-01
-51.75000,-36.75000,0.000,3.00,0.50,-8.413875e-01
-51.25000,-36.75000,0.000,3.00,0.50,-8.776623e-01
-50.75000,-36.75000,0.000,3.00,0.50,-9.040390e-01
-50.25000,-36.75000,0.000,3.00,0.50,-9.241183e-01
-49.75000,-36.75000,0.000,3.00,0.50,-9.401430e-01
-49.25000,-36.75000,0.000,3.00,0.50,-1.015468e+00
-48.75000,-36.75000,0.000,3.00,0.50,-1.028014e+00
-48.25000,-36.75000,0.000,3.00,0.50,-1.039096e+00
-47.75000,-36.75000,0.000,3.00,0.50,-1.049141e+00
-47.25000,-36.75000,0.000,3.00,0.50,-1.058444e+00
-46.75000,-36.75000,0.000,3.00,0.50,-1.067206e+00
-46.25000,-36.75000,0.000,3.00,0.50,-1.075564e+00
-45.75000,-36.75000,0.000,3.00,0.50,-1.083612e+00
-45.25000,-36.75000,0.000,3.00,0.50,-1.091411e+00
-44.75000,-36.75000,0.000,3.00,0.50,-1.099002e+00
-44.25000,-36.75000,0.000,3.00,0.50,-1.106413e+00
-43.75000,-36.75000,0.000,3.00,0.50,-1.113663e+00
-43.25000,-36.75000,0.000,3.00,0.50,-1.311310e+00
-42.75000,-36.75000,0.000,3.00,0.50,-1.316000e+00
-42.25000,-36.75000,0.000,3.00,0.50,-1.320808e+00
-41.75000,-36.75000,0.000,3.00,0.50,-1.325704e+00
-41.25000,-36.75000,0.000,3.00,0.50,-1.330666e+00
-40.75000,-36.75000,0.000,3.00,0.50,-1.335674e+00
-40.25000,-36.75000,0.000,3.00,0.50,-1.340711e+00
-39.75000,-36.75000,0.000,3.00,0.50,-1.345763e+00
-39.25000,-36.75000,0.000,3.00,0.50,-1.350819e+00
-38.75000,-36.75000,0.000,3.00,0.50,-1.355868e+00
-38.25000,-36.75000,0.000,3.00,0.50,-1.360903e+00
-37.75000,-36.75000,0.000,3.00,0.50,-1.365915e+00
-37.25000,-36.75000,0.000,3.00,0.50,-1.370900e+00
-36.75000,-36.75000,0.000,3.00,0.50,-1.375851e+00
-36.25000,-36.75000,0.000,3.00,0.50,-1.380765e+00
-35.75000,-36.75000,0.000,3.00,0.50,-1.580894e+00
-35.25000,-36.75000,0.000,3.00,0.50,-1.586173e+00
-34.75000,-36.75000,0.000,3.00,0.50,-1.591353e+00
-34.25000,-36.75000,0.000,3.00,0.50,-1.596436e+00
-33.75000,-36.75000,0.000,3.00,0.50,-1.995190e+00
-33.25000,-36.75000,0.000,3.00,0.50,-1.998602e+00
-32.75000,-36.75000,0.000,3.00,0.50,-2.001993e+00
-32.25000,-36.75000,0.000,3.00,0.50,-2.005363e+00
-31.75000,-36.75000,0.000,3.00,0.50,-2.008713e+00
-31.25000,-36.75000,0.000,3.00,0.50,-2.012042e+00
-30.75000,-36.75000,0.000,3.00,0.50,-2.015351e+00
-30.25000,-36.75000,0.000,3.00,0.50,-2.018639e+00
-79.75000,-36.25000,0.000,3.00,0.50,-2.214569e+00
-79.25000,-36.25000,0.000,3.00,0.50,-2.211310e+00
-78.75000,-36.25000,0.000,3.00,0.50,-2.208003e+00
-78.25000,-36.25000,0.000,3.00,0.50,-2.204646e+00
-77.75000,-36.25000,0.000,3.00,0.50,-2.201238e+00
-77.25000,-36.25000,0.000,3.00,0.50,-2.197777e+00
-76.75000,-36.25000,0.000,3.00,0.50,-2.194262e+00
-76.25000,-36.25000,0.000,3.00,0.50,-2.190690e+00
-75.75000,-36.25000,0.000,3.00,0.50,-2.041940e+00
-75.25000,-36.25000,0.000,3.00,0.50,-2.038283e+00
-74.75000,-36.25000,0.000,3.00,0.50,-2.034566e+00
-74.25000,-36.25000,0.000,3.00,0.50,-2.030788e+00
-73.75000,-36.25000,0.000,3.00,0.50,-2.026945e+00
-73.25000,-36.25000,0.000,3.00,0.50,-2.023037e+00
-72.75000,-36.25000,0.000,3.00,0.50,-2.019061e+00
-72.25000,-36.25000,0.000,3.00,0.50,-1.606718e+00
-71.75000,-36.25000,0.000,3.00,0.50,-1.602116e+00
-71.25000,-36.25000,0.000,3.00,0.50,-1.597486e+00
-70.75000,-36.25000,0.000,3.00,0.50,-1.592836e+00
-70.25000,-36.25000,0.000,3.00,0.50,-1.588172e+00
-69.75000,-36.25000,0.000,3.00,0.50,-1.583502e+00
-69.25000,-36.25000,0.000,3.00,0.50,-1.578837e+00
-68.75000,-36.25000,0.000,3.00,0.50,-1.574188e+00
-68.25000,-36.25000,0.000,3.00,0.50,-1.569565e+00
-67.75000,-36.25000,0.000,3.00,0.50,-1.564984e+00
-67.25000,-36.25000,0.000,3.00,0.50,-1.371475e+00
-66.75000,-36.25000,0.000,3.00,0.50,-1.367587e+00
-66.25000,-36.25000,0.000,3.00,0.50,-1.363811e+00
-65.75000,-36.25000,0.000,3.00,0.50,-1.360162e+00
-65.25000,-36.25000,0.000,3.00,0.50,-1.356659e+00
-64.75000,-36.25000,0.000,3.00,0.50,-1.353321e+00
-64.25000,-36.25000,0.000,3.00,0.50,-1.224786e+00
-63.75000,-36.25000,0.000,3.00,0.50,-1.221023e+00
-63.25000,-36.25000,0.000,3.00,0.50,-1.217384e+00
-62.75000,-36.25000,0.000,3.00,0.50,-1.213880e+00
-62.25000,-36.25000,0.000,3.00,0.50,-1.210522e+00
-61.75000,-36.25000,0.000,3.00,0.50,-1.047716e+00
-61.25000,-36.25000,0.000,3.00,0.50,-1.041786e+00
-60.75000,-36.25000,0.000,3.00,0.50,-1.035692e+00
-60.25000,-36.25000,0.000,3.00,0.50,-1.029393e+00
-59.75000,-36.25000,0.000,3.00,0.50,-1.022834e+00
-59.25000,-36.25000,0.000,3.00,0.50,-1.015947e+00
-58.75000,-36.25000,0.000,3.00,0.50,-1.008640e+00
-58.25000,-36.25000,0.000,3.00,0.50,-1.000794e+00
-57.75000,-36.25000,0.000,3.00,0.50,-9.922546e-01
-57.25000,-36.25000,0.000,3.00,0.50,-9.828105e-01
-56.75000,-36.25000,0.000,3.00,0.50,-9.721739e-01
-56.25000,-36.25000,0.000,3.00,0.50,-9.599346e-01
-55.75000,-36.25000,0.000,3.00,0.50,-9.454823e-01
-55.25000,-36.25000,0.000,3.00,0.50,-8.757197e-01
-54.75000,-36.25000,0.000,3.00,0.50,-8.552668e-01
-54.25000,-36.25000,0.000,3.00,0.50,-8.275142e-01
-53.75000,-36.25000,0.000,3.00,0.50,-7.855014e-01
-53.25000,-36.25000,0.000,3.00,0.50,-7.398249e-01
-52.75000,-36.25000,0.000,3.00,0.50,-2.746883e-01
-52.25000,-36.25000,0.000,3.00,0.50,-7.271319e-01
-51.75000,-36.25000,0.000,3.00,0.50,-8.182028e-01
-51.25000,-36.25000,0.000,3.00,0.50,-8.642335e-01
-50.75000,-36.25000,0.000,3.00,0.50,-8.937769e-01
-50.25000,-36.25000,0.000,3.00,0.50,-9.150669e-01
-49.75000,-36.25000,0.000,3.00,0.50,-9.315884e-01
-49.25000,-36.25000,0.000,3.00,0.50,-9.451340e-01
-48.75000,-36.25000,0.000,3.00,0.50,-1.019282e+00
-48.25000,-36.25000,0.000,3.00,0.50,-1.030439e+00
-47.75000,-36.25000,0.000,3.00,0.50,-1.040591e+00
-47.25000,-36.25000,0.000,3.00,0.50,-1.050047e+00
-46.75000,-36.25000,0.000,3.00,0.50,-1.059012e+00
-46.25000,-36.25000,0.000,3.00,0.50,-1.067617e+00
-45.75000,-36.25000,0.000,3.00,0.50,-1.075945e+00
-45.25000,-36.25000,0.000,3.00,0.50,-1.084046e+00
-44.75000,-36.25000,0.000,3.00,0.50,-1.091952e+00
-44.25000,-36.25000,0.000,3.00,0.50,-1.099683e+00
-43.75000,-36.25000,0.000,3.00,0.50,-1.107249e+00
-43.25000,-36.25000,0.000,3.00,0.50,-1.301735e+00
-42.75000,-36.25000,0.000,3.00,0.50,-1.306915e+00
-42.25000,-36.25000,0.000,3.00,0.50,-1.312187e+00
-41.75000,-36.25000,0.000,3.00,0.50,-1.317524e+00
-41.25000,-36.25000,0.000,3.00,0.50,-1.322903e+00
-40.75000,-36.25000,0.000,3.00,0.50,-1.328305e+00
-40.25000,-36.25000,0.000,3.00,0.50,-1.333714e+00
-39.75000,-36.25000,0.000,3.00,0.50,-1.339117e+00
-39.25000,-36.25000,0.000,3.00,0.50,-1.344504e+00
-38.75000,-36.25000,0.000,3.00,0.50,-1.349867e+00
-38.25000,-36.25000,0.000,3.00,0.50,-1.355197e+00
-37.75000,-36.25000,0.000,3.00,0.50,-1.360489e+00
-37.25000,-36.25000,0.000,3.00,0.50,-1.365738e+00
-36.75000,-36.25000,0.000,3.00,0.50,-1.370939e+00
-36.25000,-36.25000,0.000,3.00,0.50,-1.376089e+00
-35.75000,-36.25000,0.000,3.00,0.50,-1.381186e+00
-35.25000,-36.25000,0.000,3.00,0.50,-1.386226e+00
-34.75000,-36.25000,0.000,3.00,0.50,-1.588217e+00
-34.25000,-36.25000,0.000,3.00,0.50,-1.593464e+00
-33.75000,-36.25000,0.000,3.00,0.50,-1.598606e+00
-33.25000,-36.25000,0.000,3.00,0.50,-1.995444e+00
-32.75000,-36.25000,0.000,3.00,0.50,-1.998935e+00
-32.25000,-36.25000,0.000,3.00,0.50,-2.002402e+00
-31.75000,-36.25000,0.000,3.00,0.50,-2.005845e+00
-31.25000,-36.25000,0.000,3.00,0.50,-2.009265e+00
-30.75000,-36.25000,0.000,3.00,0.50,-2.012661e+00
-30.25000,-36.25000,0.000,3.00,0.50,-2.016036e+00
-79.75000,-35.75000,0.000,3.00,0.50,-2.213261e+00
-79.25000,-35.75000,0.000,3.00,0.50,-2.209946e+00
-78.75000,-35.75000,0.000,3.00,0.50,-2.206580e+00
-78.25000,-35.75000,0.000,3.00,0.50,-2.203161e+00
-77.75000,-35.75000,0.000,3.00,0.50,-2.199688e+00
-77.25000,-35.75000,0.000,3.00,0.50,-2.196158e+00
-76.75000,-35.75000,0.000,3.00,0.50,-2.192570e+00
-76.25000,-35.75000,0.000,3.00,0.50,-2.044091e+00
-75.75000,-35.75000,0.000,3.00,0.50,-2.040422e+00
-75.25000,-35.75000,0.000,3.00,0.50,-2.036691e+00
-74.75000,-35.75000,0.000,3.00,0.50,-2.032895e+00
-74.25000,-35.75000,0.000,3.00,0.50,-2.029033e+00
-73.75000,-35.75000,0.000,3.00,0.50,-2.025101e+00
-73.25000,-35.75000,0.000,3.00,0.50,-2.021098e+00
-72.75000,-35.75000,0.000,3.00,0.50,-1.607446e+00
-72.25000,-35.75000,0.000,3.00,0.50,-1.602669e+00
-71.75000,-35.75000,0.000,3.00,0.50,-1.597848e+00
-71.25000,-35.75000,0.000,3.00,0.50,-1.592989e+00
-70.75000,-35.75000,0.000,3.00,0.50,-1.588096e+00
-70.25000,-35.75000,0.000,3.00,0.50,-1.583178e+00
-69.75000,-35.75000,0.000,3.00,0.50,-1.578242e+00
-69.25000,-35.75000,0.000,3.00,0.50,-1.573299e+00
-68.75000,-35.75000,0.000,3.00,0.50,-1.568359e+00
-68.25000,-35.75000,0.000,3.00,0.50,-1.373165e+00
-67.75000,-35.75000,0.000,3.00,0.50,-1.368823e+00
-67.25000,-35.75000,0.000,3.00,0.50,-1.364555e+00
-66.75000,-35.75000,0.000,3.00,0.50,-1.360378e+00
-66.25000,-35.75000,0.000,3.00,0.50,-1.356309e+00
-65.75000,-35.75000,0.000,3.00,0.50,-1.352368e+00
-65.25000,-35.75000,0.000,3.00,0.50,-1.348575e+00
-64.75000,-35.75000,0.000,3.00,0.50,-1.344950e+00
-64.25000,-35.75000,0.000,3.00,0.50,-1.217736e+00
-63.75000,-35.75000,0.000,3.00,0.50,-1.213736e+00
-63.25000,-35.75000,0.000,3.00,0.50,-1.209866e+00
-62.75000,-35.75000,0.000,3.00,0.50,-1.206141e+00
-62.25000,-35.75000,0.000,3.00,0.50,-1.202572e+00
-61.75000,-35.75000,0.000,3.00,0.50,-1.042434e+00
-61.25000,-35.75000,0.000,3.00,0.50,-1.036440e+00
-60.75000,-35.75000,0.000,3.00,0.50,-1.030305e+00
-60.25000,-35.75000,0.000,3.00,0.50,-1.023992e+00
-59.75000,-35.75000,0.000,3.00,0.50,-1.017449e+00
-59.25000,-35.75000,0.000,3.00,0.50,-1.010611e+00
-58.75000,-35.75000,0.000,3.00,0.50,-1.003393e+00
-58.25000,-35.75000,0.000,3.00,0.50,-9.956819e-01
-57.75000,-35.75000,0.000,3.00,0.50,-9.873308e-01
-57.25000,-35.75000,0.000,3.00,0.50,-9.781437e-01
-56.75000,-35.75000,0.000,3.00,0.50,-9.678568e-01
-56.25000,-35.75000,0.000,3.00,0.50,-9.010574e-01
-55.75000,-35.75000,0.000,3.00,0.50,-8.884016e-01
-55.25000,-35.75000,0.000,3.00,0.50,-8.732919e-01
-54.75000,-35.75000,0.000,3.00,0.50,-8.546433e-01
-54.25000,-35.75000,0.000,3.00,0.50,-8.306951e-01
-53.75000,-35.75000,0.000,3.00,0.50,-7.987214e-01
-53.25000,-35.75000,0.000,3.00,0.50,-7.571666e-01
-52.75000,-35.75000,0.000,3.00,0.50,-7.272070e-01
-52.25000,-35.75000,0.000,3.00,0.50,-7.903122e-01
-51.75000,-35.75000,0.000,3.00,0.50,-8.340289e-01
-51.25000,-35.75000,0.000,3.00,0.50,-8.676439e-01
-50.75000,-35.75000,0.000,3.00,0.50,-8.922851e-01
-50.25000,-35.75000,0.000,3.00,0.50,-9.110800e-01
-49.75000,-35.75000,0.000,3.00,0.50,-9.261232e-01
-49.25000,-35.75000,0.000,3.00,0.50,-9.387277e-01
-48.75000,-35.75000,0.000,3.00,0.50,-8.953935e-01
-48.25000,-35.75000,0.000,3.00,0.50,-9.589843e-01
-47.75000,-35.75000,0.000,3.00,0.50,-9.674824e-01
-47.25000,-35.75000,0.000,3.00,0.50,-9.755370e-01
-46.75000,-35.75000,0.000,3.00,0.50,-9.832931e-01
-46.25000,-35.75000,0.000,3.00,0.50,-9.908358e-01
-45.75000,-35.75000,0.000,3.00,0.50,-9.982126e-01
-45.25000,-35.75000,0.000,3.00,0.50,-1.005448e+00
-44.75000,-35.75000,0.000,3.00,0.50,-1.085015e+00
-44.25000,-35.75000,0.000,3.00,0.50,-1.093071e+00
-43.75000,-35.75000,0.000,3.00,0.50,-1.100963e+00
-43.25000,-35.75000,0.000,3.00,0.50,-1.291962e+00
-42.75000,-35.75000,0.000,3.00,0.50,-1.297685e+00
-42.25000,-35.75000,0.000,3.00,0.50,-1.303467e+00
-41.75000,-35.75000,0.000,3.00,0.50,-1.309281e+00
-41.25000,-35.75000,0.000,3.00,0.50,-1.315107e+00
-40.75000,-35.75000,0.000,3.00,0.50,-1.320927e+00
-40.25000,-35.75000,0.000,3.00,0.50,-1.326728e+00
-39.75000,-35.75000,0.000,3.00,0.50,-1.332499e+00
-39.25000,-35.75000,0.000,3.00,0.50,-1.338232e+00
-38.75000,-35.75000,0.000,3.00,0.50,-1.343919e+00
-38.25000,-35.75000,0.000,3.00,0.50,-1.349555e+00
-37.75000,-35.75000,0.000,3.00,0.50,-1.355134e+00
-37.25000,-35.75000,0.000,3.00,0.50,-1.360654e+00
-36.75000,-35.75000,0.000,3.00,0.50,-1.154184e+00
-36.25000,-35.75000,0.000,3.00,0.50,-1.156492e+00
-35.75000,-35.75000,0.000,3.00,0.50,-1.158982e+00
-35.25000,-35.75000,0.000,3.00,0.50,-1.161677e+00
-34.75000,-35.75000,0.000,3.00,0.50,-1.164595e+00
-34.25000,-35.75000,0.000,3.00,0.50,-1.274819e+00
-33.75000,-35.75000,0.000,3.00,0.50,-1.277860e+00
-33.25000,-35.75000,0.000,3.00,0.50,-1.426436e+00
-32.75000,-35.75000,0.000,3.00,0.50,-1.429101e+00
-32.25000,-35.75000,0.000,3.00,0.50,-1.999471e+00
-31.75000,-35.75000,0.000,3.00,0.50,-2.003007e+00
-31.25000,-35.75000,0.000,3.00,0.50,-2.006518e+00
-30.75000,-35.75000,0.000,3.00,0.50,-2.010003e+00
-30.25000,-35.75000,0.000,3.00,0.50,-2.013463e+00
-79.75000,-35.25000,0.000,3.00,0.50,-2.212024e+00
-79.25000,-35.25000,0.000,3.00,0.50,-2.208655e+00
-78.75000,-35.25000,0.000,3.00,0.50,-2.205232e+00
-78.25000,-35.25000,0.000,3.00,0.50,-2.201754e+00
-77.75000,-35.25000,0.000,3.00,0.50,-2.198218e+00
-77.25000,-35.25000,0.000,3.00,0.50,-2.194622e+00
-76.75000,-35.25000,0.000,3.00,0.50,-2.190965e+00
-76.25000,-35.25000,0.000,3.00,0.50,-2.042730e+00
-75.75000,-35.25000,0.000,3.00,0.50,-2.038994e+00
-75.25000,-35.25000,0.000,3.00,0.50,-2.035192e+00
-74.75000,-35.25000,0.000,3.00,0.50,-2.031320e+00
-74.25000,-35.25000,0.000,3.00,0.50,-2.027377e+00
-73.75000,-35.25000,0.000,3.00,0.50,-2.023360e+00
-73.25000,-35.25000,0.000,3.00,0.50,-1.608615e+00
-72.75000,-35.25000,0.000,3.00,0.50,-1.603685e+00
-72.25000,-35.25000,0.000,3.00,0.50,-1.598695e+00
-71.75000,-35.25000,0.000,3.00,0.50,-1.593649e+00
-71.25000,-35.25000,0.000,3.00,0.50,-1.588550e+00
-70.75000,-35.25000,0.000,3.00,0.50,-1.583405e+00
-70.25000,-35.25000,0.000,3.00,0.50,-1.578221e+00
-69.75000,-35.25000,0.000,3.00,0.50,-1.573005e+00
-69.25000,-35.25000,0.000,3.00,0.50,-1.376165e+00
-68.75000,-35.25000,0.000,3.00,0.50,-1.371435e+00
-68.25000,-35.25000,0.000,3.00,0.50,-1.366740e+00
-67.75000,-35.25000,0.000,3.00,0.50,-1.362095e+00
-67.25000,-35.25000,0.000,3.00,0.50,-1.357517e+00
-66.75000,-35.25000,0.000,3.00,0.50,-1.353023e+00
-66.25000,-35.25000,0.000,3.00,0.50,-1.348634e+00
-65.75000,-35.25000,0.000,3.00,0.50,-1.344370e+00
-65.25000,-35.25000,0.000,3.00,0.50,-1.340253e+00
-64.75000,-35.25000,0.000,3.00,0.50,-1.336308e+00
-64.25000,-35.25000,0.000,3.00,0.50,-1.210498e+00
-63.75000,-35.25000,0.000,3.00,0.50,-1.206238e+00
-63.25000,-35.25000,0.000,3.00,0.50,-1.202114e+00
-62.75000,-35.25000,0.000,3.00,0.50,-1.198144e+00
-62.25000,-35.25000,0.000,3.00,0.50,-1.194342e+00
-61.75000,-35.25000,0.000,3.00,0.50,-1.037190e+00
-61.25000,-35.25000,0.000,3.00,0.50,-1.031157e+00
-60.75000,-35.25000,0.000,3.00,0.50,-1.025017e+00
-60.25000,-35.25000,0.000,3.00,0.50,-1.018737e+00
-59.75000,-35.25000,0.000,3.00,0.50,-1.012276e+00
-59.25000,-35.25000,0.000,3.00,0.50,-1.005577e+00
-58.75000,-35.25000,0.000,3.00,0.50,-9.985668e-01
-58.25000,-35.25000,0.000,3.00,0.50,-9.911504e-01
-57.75000,-35.25000,0.000,3.00,0.50,-9.832025e-01
-57.25000,-35.25000,0.000,3.00,0.50,-9.745621e-01
-56.75000,-35.25000,0.000,3.00,0.50,-9.088242e-01
-56.25000,-35.25000,0.000,3.00,0.50,-8.988266e-01
-55.75000,-35.25000,0.000,3.00,0.50,-8.875074e-01
-55.25000,-35.25000,0.000,3.00,0.50,-8.745051e-01
-54.75000,-35.25000,0.000,3.00,0.50,-8.594227e-01
-54.25000,-35.25000,0.000,3.00,0.50,-8.420031e-01
-53.75000,-35.25000,0.000,3.00,0.50,-8.227916e-01
-53.25000,-35.25000,0.000,3.00,0.50,-8.049524e-01
-52.75000,-35.25000,0.000,3.00,0.50,-7.960115e-01
-52.25000,-35.25000,0.000,3.00,0.50,-8.016156e-01
-51.75000,-35.25000,0.000,3.00,0.50,-8.167050e-01
-51.25000,-35.25000,0.000,3.00,0.50,-8.330679e-01
-50.75000,-35.25000,0.000,3.00,0.50,-8.476947e-01
-50.25000,-35.25000,0.000,3.00,0.50,-8.601798e-01
-49.75000,-35.25000,0.000,3.00,0.50,-8.708868e-01
-49.25000,-35.25000,0.000,3.00,0.50,-8.803173e-01
-48.75000,-35.25000,0.000,3.00,0.50,-8.889049e-01
-48.25000,-35.25000,0.000,3.00,0.50,-8.969721e-01
-47.75000,-35.25000,0.000,3.00,0.50,-9.596071e-01
-47.25000,-35.25000,0.000,3.00,0.50,-9.675070e-01
-46.75000,-35.25000,0.000,3.00,0.50,-9.752916e-01
-46.25000,-35.25000,0.000,3.00,0.50,-9.829881e-01
-45.75000,-35.25000,0.000,3.00,0.50,-9.905986e-01
-45.25000,-35.25000,0.000,3.00,0.50,-9.981133e-01
-44.75000,-35.25000,0.000,3.00,0.50,-1.005520e+00
-44.25000,-35.25000,0.000,3.00,0.50,-1.012810e+00
-43.75000,-35.25000,0.000,3.00,0.50,-1.019975e+00
-43.25000,-35.25000,0.000,3.00,0.50,-1.172026e+00
-42.75000,-35.25000,0.000,3.00,0.50,-1.177336e+00
-42.25000,-35.25000,0.000,3.00,0.50,-1.294688e+00
-41.75000,-35.25000,0.000,3.00,0.50,-1.301015e+00
-41.25000,-35.25000,0.000,3.00,0.50,-1.307315e+00
-40.75000,-35.25000,0.000,3.00,0.50,-1.313575e+00
-40.25000,-35.25000,0.000,3.00,0.50,-1.319786e+00
-39.75000,-35.25000,0.000,3.00,0.50,-1.325939e+00
-39.25000,-35.25000,0.000,3.00,0.50,-1.332029e+00
-38.75000,-35.25000,0.000,3.00,0.50,-1.338050e+00
-38.25000,-35.25000,0.000,3.00,0.50,-1.139813e+00
-37.75000,-35.25000,0.000,3.00,0.50,-1.141659e+00
-37.25000,-35.25000,0.000,3.00,0.50,-1.143605e+00
-36.75000,-35.25000,0.000,3.00,0.50,-1.145690e+00
-36.25000,-35.25000,0.000,3.00,0.50,-1.147950e+00
-35.75000,-35.25000,0.000,3.00,0.50,-1.150420e+00
-35.25000,-35.25000,0.000,3.00,0.50,-1.153129e+00
-34.75000,-35.25000,0.000,3.00,0.50,-1.156100e+00
-34.25000,-35.25000,0.000,3.00,0.50,-1.159347e+00
-33.75000,-35.25000,0.000,3.00,0.50,-1.268732e+00
-33.25000,-35.25000,0.000,3.00,0.50,-1.272246e+00
-32.75000,-35.25000,0.000,3.00,0.50,-1.417643e+00
-32.25000,-35.25000,0.000,3.00,0.50,-1.421098e+00
-31.75000,-35.25000,0.000,3.00,0.50,-1.425018e+00
-31.25000,-35.25000,0.000,3.00,0.50,-1.429349e+00
-30.75000,-35.25000,0.000,3.00,0.50,-1.434034e+00
-30.25000,-35.25000,0.000,3.00,0.50,-2.010923e+00
-79.75000,-34.75000,0.000,3.00,0.50,-2.210859e+00
-79.25000,-34.75000,0.000,3.00,0.50,-2.207439e+00
-78.75000,-34.75000,0.000,3.00,0.50,-2.203962e+00
-78.25000,-34.75000,0.000,3.00,0.50,-2.200427e+00
-77.75000,-34.75000,0.000,3.00,0.50,-2.196832e+00
-77.25000,-34.75000,0.000,3.00,0.50,-2.193174e+00
-76.75000,-34.75000,0.000,3.00,0.50,-2.189450e+00
-76.25000,-34.75000,0.000,3.00,0.50,-2.041460e+00
-75.75000,-34.75000,0.000,3.00,0.50,-2.037660e+00
-75.25000,-34.75000,0.000,3.00,0.50,-2.033790e+00
-74.75000,-34.75000,0.000,3.00,0.50,-2.029846e+00
-74.25000,-34.75000,0.000,3.00,0.50,-2.025827e+00
-73.75000,-34.75000,0.000,3.00,0.50,-1.610213e+00
-73.25000,-34.75000,0.000,3.00,0.50,-1.605154e+00
-72.75000,-34.75000,0.000,3.00,0.50,-1.600020e+00
-72.25000,-34.75000,0.000,3.00,0.50,-1.594812e+00
-71.75000,-34.75000,0.000,3.00,0.50,-1.589534e+00
-71.25000,-34.75000,0.000,3.00,0.50,-1.584189e+00
-70.75000,-34.75000,0.000,3.00,0.50,-1.578782e+00
-70.25000,-34.75000,0.000,3.00,0.50,-1.380387e+00
-69.75000,-34.75000,0.000,3.00,0.50,-1.375346e+00
-69.25000,-34.75000,0.000,3.00,0.50,-1.370302e+00
-68.75000,-34.75000,0.000,3.00,0.50,-1.365267e+00
