Longitude,Latitude,Rate
-56.00000,-34.00000,0.035
-55.00000,-34.00000,0.035
-54.00000,-34.00000,0.033
-53.00000,-34.00000,0.034
-52.00000,-34.00000,0.036
-51.00000,-34.00000,0.038
-50.00000,-34.00000,0.039
-49.00000,-34.00000,0.040
-48.00000,-34.00000,0.040
-47.00000,-34.00000,0.039
-46.00000,-34.00000,0.037
-45.00000,-34.00000,0.036
-44.00000,-34.00000,0.033
-43.00000,-34.00000,0.030
-42.00000,-34.00000,0.027
-41.00000,-34.00000,0.024
-40.00000,-34.00000,0.022
-39.00000,-34.00000,0.021
-38.00000,-34.00000,0.019
-37.00000,-34.00000,0.017
-36.00000,-34.00000,0.015
-35.00000,-34.00000,0.013
-34.00000,-34.00000,0.011
-33.00000,-34.00000,0.009
-32.00000,-34.00000,0.008
-31.00000,-34.00000,0.006
-80.00000,-33.00000,0.003
-79.00000,-33.00000,0.003
-78.00000,-33.00000,0.004
-77.00000,-33.00000,0.004
-76.00000,-33.00000,0.005
-75.00000,-33.00000,0.005
-74.00000,-33.00000,0.006
-73.00000,-33.00000,0.007
-72.00000,-33.00000,0.007
-71.00000,-33.00000,0.008
-70.00000,-33.00000,0.009
-69.00000,-33.00000,0.011
-68.00000,-33.00000,0.012
-67.00000,-33.00000,0.014
-66.00000,-33.00000,0.015
-65.00000,-33.00000,0.017
-64.00000,-33.00000,0.019
-63.00000,-33.00000,0.020
-62.00000,-33.00000,0.022
-61.00000,-33.00000,0.026
-60.00000,-33.00000,0.029
-59.00000,-33.00000,0.030
-58.00000,-33.00000,0.032
-57.00000,-33.00000,0.037
-56.00000,-33.00000,0.039
-55.00000,-33.00000,0.041
-54.00000,-33.00000,0.042
-53.00000,-33.00000,0.045
-52.00000,-33.00000,0.046
-51.00000,-33.00000,0.047
-50.00000,-33.00000,0.047
-49.00000,-33.00000,0.047
-48.00000,-33.00000,0.046
-47.00000,-33.00000,0.045
-46.00000,-33.00000,0.043
-45.00000,-33.00000,0.041
-44.00000,-33.00000,0.041
-43.00000,-33.00000,0.040
-42.00000,-33.00000,0.036
-41.00000,-33.00000,0.031
-40.00000,-33.00000,0.028
-39.00000,-33.00000,0.026
-38.00000,-33.00000,0.024
-37.00000,-33.00000,0.021
-36.00000,-33.00000,0.019
-35.00000,-33.00000,0.016
-34.00000,-33.00000,0.014
-33.00000,-33.00000,0.012
-32.00000,-33.00000,0.010
-31.00000,-33.00000,0.008
-80.00000,-32.00000,0.003
-79.00000,-32.00000,0.004
-78.00000,-32.00000,0.004
-77.00000,-32.00000,0.004
-76.00000,-32.00000,0.005
-75.00000,-32.00000,0.005
-74.00000,-32.00000,0.006
-73.00000,-32.00000,0.007
-72.00000,-32.00000,0.008
-71.00000,-32.00000,0.009
-70.00000,-32.00000,0.010
-69.00000,-32.00000,0.012
-68.00000,-32.00000,0.014
-67.00000,-32.00000,0.016
-66.00000,-32.00000,0.018
-65.00000,-32.00000,0.020
-64.00000,-32.00000,0.021
-63.00000,-32.00000,0.023
-62.00000,-32.00000,0.025
-61.00000,-32.00000,0.028
-60.00000,-32.00000,0.031
-59.00000,-32.00000,0.034
-58.00000,-32.00000,0.037
-57.00000,-32.00000,0.040
-56.00000,-32.00000,0.044
-55.00000,-32.00000,0.049
-54.00000,-32.00000,0.048
-53.00000,-32.00000,0.050
-52.00000,-32.00000,0.051
-51.00000,-32.00000,0.053
-50.00000,-32.00000,0.053
-49.00000,-32.00000,0.054
-48.00000,-32.00000,0.053
-47.00000,-32.00000,0.053
-46.00000,-32.00000,0.051
-45.00000,-32.00000,0.048
-44.00000,-32.00000,0.046
-43.00000,-32.00000,0.046
-42.00000,-32.00000,0.045
-41.00000,-32.00000,0.041
-40.00000,-32.00000,0.036
-39.00000,-32.00000,0.033
-38.00000,-32.00000,0.030
-37.00000,-32.00000,0.027
-36.00000,-32.00000,0.023
-35.00000,-32.00000,0.020
-34.00000,-32.00000,0.017
-33.00000,-32.00000,0.014
-32.00000,-32.00000,0.012
-31.00000,-32.00000,0.010
-80.00000,-31.00000,0.004
-79.00000,-31.00000,0.004
-78.00000,-31.00000,0.004
-77.00000,-31.00000,0.005
-76.00000,-31.00000,0.005
-75.00000,-31.00000,0.006
-74.00000,-31.00000,0.006
-73.00000,-31.00000,0.007
-72.00000,-31.00000,0.008
-71.00000,-31.00000,0.010
-70.00000,-31.00000,0.012
-69.00000,-31.00000,0.014
-68.00000,-31.00000,0.016
-67.00000,-31.00000,0.019
-66.00000,-31.00000,0.021
-65.00000,-31.00000,0.023
-64.00000,-31.00000,0.025
-63.00000,-31.00000,0.027
-62.00000,-31.00000,0.030
-61.00000,-31.00000,0.034
-60.00000,-31.00000,0.036
-59.00000,-31.00000,0.040
-58.00000,-31.00000,0.044
-57.00000,-31.00000,0.049
-56.00000,-31.00000,0.055
-55.00000,-31.00000,0.058
-54.00000,-31.00000,0.056
-53.00000,-31.00000,0.055
-52.00000,-31.00000,0.057
-51.00000,-31.00000,0.059
-50.00000,-31.00000,0.061
-49.00000,-31.00000,0.061
-48.00000,-31.00000,0.062
-47.00000,-31.00000,0.061
-46.00000,-31.00000,0.060
-45.00000,-31.00000,0.057
-44.00000,-31.00000,0.054
-43.00000,-31.00000,0.051
-42.00000,-31.00000,0.050
-41.00000,-31.00000,0.048
-40.00000,-31.00000,0.045
-39.00000,-31.00000,0.041
-38.00000,-31.00000,0.037
-37.00000,-31.00000,0.033
-36.00000,-31.00000,0.029
-35.00000,-31.00000,0.024
-34.00000,-31.00000,0.021
-33.00000,-31.00000,0.017
-32.00000,-31.00000,0.014
-31.00000,-31.00000,0.011
-80.00000,-30.00000,0.004
-79.00000,-30.00000,0.004
-78.00000,-30.00000,0.004
-77.00000,-30.00000,0.005
-76.00000,-30.00000,0.005
-75.00000,-30.00000,0.006
-74.00000,-30.00000,0.007
-73.00000,-30.00000,0.007
-72.00000,-30.00000,0.009
-71.00000,-30.00000,0.011
-70.00000,-30.00000,0.013
-69.00000,-30.00000,0.016
-68.00000,-30.00000,0.019
-67.00000,-30.00000,0.022
-66.00000,-30.00000,0.024
-65.00000,-30.00000,0.026
-64.00000,-30.00000,0.029
-63.00000,-30.00000,0.031
-62.00000,-30.00000,0.035
-61.00000,-30.00000,0.038
-60.00000,-30.00000,0.042
-59.00000,-30.00000,0.047
-58.00000,-30.00000,0.053
-57.00000,-30.00000,0.060
-56.00000,-30.00000,0.068
-55.00000,-30.00000,0.067
-54.00000,-30.00000,0.065
-53.00000,-30.00000,0.062
-52.00000,-30.00000,0.063
-51.00000,-30.00000,0.066
-50.00000,-30.00000,0.068
-49.00000,-30.00000,0.070
-48.00000,-30.00000,0.071
-47.00000,-30.00000,0.071
-46.00000,-30.00000,0.069
-45.00000,-30.00000,0.066
-44.00000,-30.00000,0.064
-43.00000,-30.00000,0.061
-42.00000,-30.00000,0.058
-41.00000,-30.00000,0.056
-40.00000,-30.00000,0.053
-39.00000,-30.00000,0.049
-38.00000,-30.00000,0.045
-37.00000,-30.00000,0.040
-36.00000,-30.00000,0.034
-35.00000,-30.00000,0.029
-34.00000,-30.00000,0.024
-33.00000,-30.00000,0.020
-32.00000,-30.00000,0.016
-31.00000,-30.00000,0.013
-80.00000,-29.00000,0.004
-79.00000,-29.00000,0.004
-78.00000,-29.00000,0.005
-77.00000,-29.00000,0.005
-76.00000,-29.00000,0.006
-75.00000,-29.00000,0.007
-74.00000,-29.00000,0.008
-73.00000,-29.00000,0.008
-72.00000,-29.00000,0.010
-71.00000,-29.00000,0.013
-70.00000,-29.00000,0.015
-69.00000,-29.00000,0.018
-68.00000,-29.00000,0.022
-67.00000,-29.00000,0.024
-66.00000,-29.00000,0.027
-65.00000,-29.00000,0.029
-64.00000,-29.00000,0.032
-63.00000,-29.00000,0.036
-62.00000,-29.00000,0.040
-61.00000,-29.00000,0.044
-60.00000,-29.00000,0.049
-59.00000,-29.00000,0.055
-58.00000,-29.00000,0.060
-57.00000,-29.00000,0.071
-56.00000,-29.00000,0.079
-55.00000,-29.00000,0.077
-54.00000,-29.00000,0.075
-53.00000,-29.00000,0.072
-52.00000,-29.00000,0.069
-51.00000,-29.00000,0.073
-50.00000,-29.00000,0.077
-49.00000,-29.00000,0.080
-48.00000,-29.00000,0.079
-47.00000,-29.00000,0.078
-46.00000,-29.00000,0.080
-45.00000,-29.00000,0.080
-44.00000,-29.00000,0.076
-43.00000,-29.00000,0.076
-42.00000,-29.00000,0.073
-41.00000,-29.00000,0.067
-40.00000,-29.00000,0.064
-39.00000,-29.00000,0.055
-38.00000,-29.00000,0.051
-37.00000,-29.00000,0.047
-36.00000,-29.00000,0.040
-35.00000,-29.00000,0.034
-34.00000,-29.00000,0.028
-33.00000,-29.00000,0.023
-32.00000,-29.00000,0.019
-31.00000,-29.00000,0.015
-80.00000,-28.00000,0.005
-79.00000,-28.00000,0.005
-78.00000,-28.00000,0.005
-77.00000,-28.00000,0.005
-76.00000,-28.00000,0.006
-75.00000,-28.00000,0.008
-74.00000,-28.00000,0.008
-73.00000,-28.00000,0.009
-72.00000,-28.00000,0.011
-71.00000,-28.00000,0.014
-70.00000,-28.00000,0.017
-69.00000,-28.00000,0.020
-68.00000,-28.00000,0.024
-67.00000,-28.00000,0.027
-66.00000,-28.00000,0.030
-65.00000,-28.00000,0.033
-64.00000,-28.00000,0.036
-63.00000,-28.00000,0.040
-62.00000,-28.00000,0.045
-61.00000,-28.00000,0.050
-60.00000,-28.00000,0.056
-59.00000,-28.00000,0.063
-58.00000,-28.00000,0.067
-57.00000,-28.00000,0.080
-56.00000,-28.00000,0.088
-55.00000,-28.00000,0.087
-54.00000,-28.00000,0.085
-53.00000,-28.00000,0.082
-52.00000,-28.00000,0.079
-51.00000,-28.00000,0.081
-50.00000,-28.00000,0.087
-49.00000,-28.00000,0.089
-48.00000,-28.00000,0.092
-47.00000,-28.00000,0.097
-46.00000,-28.00000,0.097
-45.00000,-28.00000,0.098
-44.00000,-28.00000,0.098
-43.00000,-28.00000,0.095
-42.00000,-28.00000,0.088
-41.00000,-28.00000,0.084
-40.00000,-28.00000,0.076
-39.00000,-28.00000,0.065
-38.00000,-28.00000,0.056
-37.00000,-28.00000,0.053
-36.00000,-28.00000,0.044
-35.00000,-28.00000,0.039
-34.00000,-28.00000,0.032
-33.00000,-28.00000,0.026
-32.00000,-28.00000,0.021
-31.00000,-28.00000,0.017
-80.00000,-27.00000,0.005
-79.00000,-27.00000,0.005
-78.00000,-27.00000,0.005
-77.00000,-27.00000,0.005
-76.00000,-27.00000,0.007
-75.00000,-27.00000,0.008
-74.00000,-27.00000,0.009
-73.00000,-27.00000,0.010
-72.00000,-27.00000,0.013
-71.00000,-27.00000,0.015
-70.00000,-27.00000,0.019
-69.00000,-27.00000,0.022
-68.00000,-27.00000,0.027
-67.00000,-27.00000,0.030
-66.00000,-27.00000,0.033
-65.00000,-27.00000,0.036
-64.00000,-27.00000,0.040
-63.00000,-27.00000,0.045
-62.00000,-27.00000,0.050
-61.00000,-27.00000,0.056
-60.00000,-27.00000,0.063
-59.00000,-27.00000,0.072
-58.00000,-27.00000,0.074
-57.00000,-27.00000,0.087
-56.00000,-27.00000,0.098
-55.00000,-27.00000,0.097
-54.00000,-27.00000,0.095
-53.00000,-27.00000,0.093
-52.00000,-27.00000,0.091
-51.00000,-27.00000,0.091
-50.00000,-27.00000,0.098
-49.00000,-27.00000,0.104
-48.00000,-27.00000,0.111
-47.00000,-27.00000,0.114
-46.00000,-27.00000,0.115
-45.00000,-27.00000,0.113
-44.00000,-27.00000,0.111
-43.00000,-27.00000,0.108
-42.00000,-27.00000,0.104
-41.00000,-27.00000,0.100
-40.00000,-27.00000,0.090
-39.00000,-27.00000,0.079
-38.00000,-27.00000,0.066
-37.00000,-27.00000,0.058
-36.00000,-27.00000,0.047
-35.00000,-27.00000,0.042
-34.00000,-27.00000,0.035
-33.00000,-27.00000,0.029
-32.00000,-27.00000,0.023
-31.00000,-27.00000,0.018
-80.00000,-26.00000,0.005
-79.00000,-26.00000,0.005
-78.00000,-26.00000,0.006
-77.00000,-26.00000,0.006
-76.00000,-26.00000,0.007
-75.00000,-26.00000,0.009
-74.00000,-26.00000,0.010
-73.00000,-26.00000,0.011
-72.00000,-26.00000,0.014
-71.00000,-26.00000,0.017
-70.00000,-26.00000,0.020
-69.00000,-26.00000,0.024
-68.00000,-26.00000,0.029
-67.00000,-26.00000,0.033
-66.00000,-26.00000,0.036
-65.00000,-26.00000,0.040
-64.00000,-26.00000,0.044
-63.00000,-26.00000,0.049
-62.00000,-26.00000,0.055
-61.00000,-26.00000,0.062
-60.00000,-26.00000,0.070
-59.00000,-26.00000,0.078
-58.00000,-26.00000,0.080
-57.00000,-26.00000,0.093
-56.00000,-26.00000,0.107
-55.00000,-26.00000,0.107
-54.00000,-26.00000,0.106
-53.00000,-26.00000,0.105
-52.00000,-26.00000,0.110
-51.00000,-26.00000,0.108
-50.00000,-26.00000,0.112
-49.00000,-26.00000,0.121
-48.00000,-26.00000,0.129
-47.00000,-26.00000,0.131
-46.00000,-26.00000,0.134
-45.00000,-26.00000,0.129
-44.00000,-26.00000,0.124
-43.00000,-26.00000,0.121
-42.00000,-26.00000,0.117
-41.00000,-26.00000,0.115
-40.00000,-26.00000,0.104
-39.00000,-26.00000,0.091
-38.00000,-26.00000,0.076
-37.00000,-26.00000,0.064
-36.00000,-26.00000,0.050
-35.00000,-26.00000,0.045
-34.00000,-26.00000,0.038
-33.00000,-26.00000,0.031
-32.00000,-26.00000,0.025
-31.00000,-26.00000,0.019
-80.00000,-25.00000,0.006
-79.00000,-25.00000,0.006
-78.00000,-25.00000,0.006
-77.00000,-25.00000,0.006
-76.00000,-25.00000,0.007
-75.00000,-25.00000,0.009
-74.00000,-25.00000,0.011
-73.00000,-25.00000,0.012
-72.00000,-25.00000,0.014
-71.00000,-25.00000,0.018
-70.00000,-25.00000,0.021
-69.00000,-25.00000,0.026
-68.00000,-25.00000,0.030
-67.00000,-25.00000,0.035
-66.00000,-25.00000,0.039
-65.00000,-25.00000,0.043
-64.00000,-25.00000,0.048
-63.00000,-25.00000,0.053
-62.00000,-25.00000,0.060
-61.00000,-25.00000,0.067
-60.00000,-25.00000,0.076
-59.00000,-25.00000,0.082
-58.00000,-25.00000,0.084
-57.00000,-25.00000,0.097
-56.00000,-25.00000,0.115
-55.00000,-25.00000,0.117
-54.00000,-25.00000,0.117
-53.00000,-25.00000,0.120
-52.00000,-25.00000,0.119
-51.00000,-25.00000,0.117
-50.00000,-25.00000,0.126
-49.00000,-25.00000,0.140
-48.00000,-25.00000,0.148
-47.00000,-25.00000,0.151
-46.00000,-25.00000,0.159
-45.00000,-25.00000,0.152
-44.00000,-25.00000,0.139
-43.00000,-25.00000,0.135
-42.00000,-25.00000,0.135
-41.00000,-25.00000,0.129
-40.00000,-25.00000,0.118
-39.00000,-25.00000,0.099
-38.00000,-25.00000,0.084
