Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
-31.25000,11.25000,15.000,0.00000e+00,nan,1.0000
-30.75000,11.25000,15.000,0.00000e+00,nan,1.0000
-30.25000,11.25000,15.000,0.00000e+00,nan,1.0000
-79.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-79.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-78.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-78.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-77.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-77.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-76.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-76.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-75.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-75.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-74.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-74.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-73.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-73.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-72.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-72.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-71.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-71.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-70.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-70.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-69.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-69.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-68.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-68.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-67.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-67.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-66.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-66.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-65.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-65.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-64.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-64.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-63.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-63.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-62.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-62.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-61.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-61.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-60.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-60.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-59.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-59.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-58.75000,10.75000,15.000,0.00000e+00,nan,1.0000
-58.25000,10.75000,15.000,0.00000e+00,nan,1.0000
-57.75000,10.75000,15.000,0.00000e+00,nan,1.0000
