# gsimlt_path=b1,smlt_path=b1,imt=PGA,investigation_time=50.0
lon,lat,iml
-75.21,-33.5329,0.005
-75.1533,-34.5311,0.005
-75.0938,-35.5294,0.005
-75.0312,-36.5276,0.005
-75.0086,0.407533,0.005
-75.0085,-0.590714,0.005
-75.0073,1.40578,0.005
-75.0068,-1.58896,0.005
-75.0044,2.40403,0.005
-75.0037,-2.58721,0.005
-75,3.40227,0.005
-74.999,-3.58546,0.005
-74.994,4.40052,0.005
-74.9928,-4.5837,0.005
-74.9865,5.39877,0.005
-74.985,-5.58195,0.005
-74.9775,6.39701,0.005
-74.9757,-6.5802,0.00977447
-74.9669,7.39526,0.005
-74.9655,-37.5259,0.005
-74.9648,-7.57844,0.0141973
-74.9547,8.39351,0.005
-74.9523,-8.57669,0.0167364
-74.941,9.39176,0.005
-74.9383,-9.57494,0.0159344
-74.9256,10.39,0.005
-74.9226,-10.5732,0.0073263
-74.9085,11.3882,0.005
-74.9052,-11.5714,0.005
-74.8898,12.3865,0.005
-74.8862,-12.5697,0.005
-74.8694,13.3847,0.005
-74.8655,-13.5679,0.005
-74.8473,14.383,0.005
-74.843,-14.5662,0.005
-74.8188,-15.5644,0.005
-74.7928,-16.5627,0.005
-74.7648,-17.5609,0.005
-74.735,-18.5592,0.005
-74.7032,-19.5574,0.005
-74.6694,-20.5557,0.005
-74.6336,-21.5539,0.005
-74.5956,-22.5521,0.005
-74.5554,-23.5504,0.005
-74.5129,-24.5486,0.005
-74.468,-25.5469,0.005
-74.4207,-26.5451,0.005
-74.3709,-27.5434,0.005
-74.3184,-28.5416,0.005
-74.2632,-29.5399,0.005
-74.2051,-30.5381,0.005
-74.1441,-31.5364,0.005
-74.0799,-32.5346,0.005
-74.0125,-33.5329,0.005
-74.0104,0.407533,0.005
-74.0102,-0.590714,0.005
-74.0087,1.40578,0.005
-74.0082,-1.58896,0.005
-74.0052,2.40403,0.005
-74.0044,-2.58721,0.005
-73.9999,3.40227,0.005
-73.9988,-3.58546,0.005
-73.9928,4.40052,0.005
-73.9913,-4.5837,0.005
-73.9838,5.39877,0.005
-73.982,-5.58195,0.010954
-73.973,6.39701,0.005
-73.9708,-6.5802,0.0606491
-73.9603,7.39526,0.005
-73.9578,-7.57844,0.0719542
-73.9457,8.39351,0.005
-73.9428,-8.57669,0.0757961
-73.9416,-34.5311,0.005
-73.9292,9.39176,0.005
-73.9259,-9.57494,0.0736989
-73.9107,10.39,0.005
-73.9071,-10.5732,0.0203901
-73.8903,11.3882,0.005
-73.8863,-11.5714,0.005
-73.8678,12.3865,0.005
-73.8672,-35.5294,0.005
-73.8635,-12.5697,0.005
-73.8433,13.3847,0.005
-73.8386,-13.5679,0.005
-73.8168,14.383,0.005
-73.8117,-14.5662,0.005
-73.789,-36.5276,0.005
-73.7826,-15.5644,0.005
-73.7513,-16.5627,0.005
-73.7178,-17.5609,0.005
-73.7069,-37.5259,0.005
-73.682,-18.5592,0.005
-73.6439,-19.5574,0.005
-73.6033,-20.5557,0.005
-73.5603,-21.5539,0.005
-73.5147,-22.5521,0.005
-73.4664,-23.5504,0.005
-73.4155,-24.5486,0.005
-73.3616,-25.5469,0.005
-73.3049,-26.5451,0.005
-73.2451,-27.5434,0.005
-73.1821,-28.5416,0.005
-73.1159,-29.5399,0.005
-73.0462,-30.5381,0.005
-73.0121,0.407533,0.005
-73.0119,-0.590714,0.005
-73.0102,1.40578,0.005
-73.0096,-1.58896,0.005
-73.0061,2.40403,0.005
-73.0051,-2.58721,0.005
-72.9999,3.40227,0.005
-72.9986,-3.58546,0.005
-72.9916,4.40052,0.005
-72.9899,-4.5837,0.005
-72.9811,5.39877,0.005
-72.979,-5.58195,0.00806427
-72.9729,-31.5364,0.005
-72.9685,6.39701,0.005
-72.9659,-6.5802,0.0306498
-72.9537,7.39526,0.005
-72.9507,-7.57844,0.077461
-72.9366,8.39351,0.005
-72.9333,-8.57669,0.081546
-72.9174,9.39176,0.005
-72.9136,-9.57494,0.0804624
-72.8959,-32.5346,0.005
-72.8958,10.39,0.005
-72.8916,-10.5732,0.0469702
-72.872,11.3882,0.005
-72.8673,-11.5714,0.0103375
-72.8458,12.3865,0.005
-72.8407,-12.5697,0.005
-72.8172,13.3847,0.005
-72.815,-33.5329,0.005
-72.8117,-13.5679,0.005
-72.7862,14.383,0.005
-72.7803,-14.5662,0.005
-72.7463,-15.5644,0.005
-72.73,-34.5311,0.005
-72.7099,-16.5627,0.005
-72.6708,-17.5609,0.005
-72.6406,-35.5294,0.005
-72.629,-18.5592,0.005
-72.5845,-19.5574,0.005
-72.5468,-36.5276,0.005
-72.5372,-20.5557,0.005
-72.487,-21.5539,0.005
-72.4483,-37.5259,0.005
-72.4338,-22.5521,0.005
-72.3775,-23.5504,0.005
-72.318,-24.5486,0.005
-72.2552,-25.5469,0.005
-72.189,-26.5451,0.005
-72.1193,-27.5434,0.005
-72.0458,-28.5416,0.005
-72.0138,0.407533,0.005
-72.0136,-0.590714,0.005
-72.0116,1.40578,0.005
-72.011,-1.58896,0.005
-72.007,2.40403,0.005
-72.0059,-2.58721,0.005
-71.9999,3.40227,0.005
-71.9984,-3.58546,0.005
-71.9904,4.40052,0.005
-71.9884,-4.5837,0.005
-71.9784,5.39877,0.005
-71.976,-5.58195,0.005
-71.9685,-29.5399,0.005
-71.964,6.39701,0.005
-71.9611,-6.5802,0.0114323
-71.9471,7.39526,0.005
-71.9437,-7.57844,0.0356101
-71.9276,8.39351,0.005
-71.9237,-8.57669,0.0783674
-71.9055,9.39176,0.005
-71.9012,-9.57494,0.0813777
-71.8872,-30.5381,0.005
-71.8809,10.39,0.005
-71.8761,-10.5732,0.074976
-71.8537,11.3882,0.005
-71.8484,-11.5714,0.0189429
-71.8237,12.3865,0.005
-71.818,-12.5697,0.005
-71.8017,-31.5364,0.005
-71.7911,13.3847,0.005
-71.7848,-13.5679,0.005
-71.7557,14.383,0.005
